model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
fginjk,0.8542981072555205,0.85732509403723,0.8542981072555205,0.8457547262092121,0.8552552617487034,0.3277156740450521,128,4,0.001,64,False,-1,-1,240.93165946006775,0.6276884078979492
fginjk,0.8541009463722398,0.8584663798142016,0.8541009463722398,0.8456364875728033,0.8544463367567507,0.3290279270017561,128,4,0.001,32,False,-1,-1,341.57641142606735,0.6069976687431335
fginjk,0.8525236593059937,0.8576223456826801,0.8525236593059937,0.8427552858267389,0.852561996355123,0.32983784865270654,128,4,0.001,16,False,-1,-1,437.1150034070015,0.5971469283103943
fginjk,0.8495662460567823,0.8588405149123565,0.8495662460567823,0.837019766072814,0.849514563019228,0.34484743219961883,128,4,0.001,8,False,-1,-1,492.95500123500824,0.5687171816825867
fginjk,0.8529179810725551,0.8562013041463459,0.8529179810725551,0.8441370425622305,0.8532889392493996,0.32229154193862003,128,5,0.001,64,False,-1,-1,260.50458788871765,0.7206716537475586
fginjk,0.8548895899053628,0.8591851655230927,0.8548895899053628,0.846478553611439,0.8554382322640772,0.32825661308428844,128,5,0.001,32,False,-1,-1,410.0504720211029,0.7205464839935303
fginjk,0.8521293375394321,0.8553934607216954,0.8521293375394321,0.8427474006411445,0.8526274517319837,0.33354816448284247,128,5,0.001,16,False,-1,-1,615.4017553925514,0.6788725256919861
fginjk,0.852326498422713,0.8577149674475948,0.852326498422713,0.8426288593899501,0.852371972560533,0.34304776170793394,128,5,0.001,8,False,-1,-1,673.8825671076775,0.6701453328132629
fginjk,0.8523264984227128,0.8561892714815498,0.8523264984227128,0.8432095232531595,0.8526795784832053,0.3246526716259376,128,6,0.001,64,False,-1,-1,317.31673842668533,0.8169636726379395
fginjk,0.8533123028391167,0.8600867082342372,0.8533123028391167,0.8434406832881907,0.8537421827945026,0.3346112834800869,128,6,0.001,32,False,-1,-1,402.8886605501175,0.7931616306304932
fginjk,0.8523264984227129,0.8583537183952624,0.8523264984227129,0.8416148586612264,0.8527167083933748,0.3330457537473188,128,6,0.001,16,False,-1,-1,761.2342841029167,0.792320191860199
fginjk,0.8519321766561514,0.8599040392131797,0.8519321766561514,0.8411685358484076,0.8519925965089478,0.34481290403506737,128,6,0.001,8,False,-1,-1,725.494528234005,0.7805383205413818
fginjk,0.8529179810725552,0.8567964322762419,0.8529179810725552,0.8436320683853964,0.8534461466928938,0.33045180339354446,128,7,0.001,64,False,-1,-1,407.5753119587898,0.9167011976242065
fginjk,0.8535094637223974,0.857835587760119,0.8535094637223974,0.8444039151440486,0.8541942839047442,0.32818540773275146,128,7,0.001,32,False,-1,-1,528.0271961092949,0.9139471650123596
fginjk,0.8511435331230284,0.8547043855319425,0.8511435331230284,0.8405879772333512,0.8514404096982933,0.33457718693213506,128,7,0.001,16,False,-1,-1,627.5761134624481,0.889701783657074
fginjk,0.8519321766561514,0.8539460184190846,0.8519321766561514,0.843185483081935,0.8521744190069959,0.33450998629117235,128,7,0.001,8,False,-1,-1,1149.650047659874,0.8659647107124329
fginjk,0.8537066246056783,0.8563614273718461,0.8537066246056783,0.8455298899391892,0.8543239097065791,0.32989032486635805,64,4,0.001,64,False,-1,-1,177.3843246102333,0.45075029134750366
fginjk,0.8529179810725551,0.8605948368004427,0.8529179810725551,0.8425837369467766,0.8530246115439502,0.3297314363464196,64,4,0.001,32,False,-1,-1,168.69273936748505,0.4844074249267578
fginjk,0.8535094637223974,0.8578383207616217,0.8535094637223974,0.8445935125296685,0.853913822221249,0.3364427777048353,64,4,0.001,16,False,-1,-1,293.7690729498863,0.44965696334838867
fginjk,0.8527208201892744,0.8601477242482924,0.8527208201892744,0.842653892664885,0.8529836017336544,0.3439162422194842,64,4,0.001,8,False,-1,-1,446.18020337820053,0.4503418207168579
fginjk,0.8537066246056781,0.8565457479424728,0.8537066246056781,0.8454460394618921,0.8542098294253966,0.3237000689122015,64,5,0.001,64,False,-1,-1,195.85878610610962,0.5492880940437317
fginjk,0.8544952681388012,0.8573502122647171,0.8544952681388012,0.846803611256205,0.8550797586000307,0.3245744318099052,64,5,0.001,32,False,-1,-1,253.64099806547165,0.548640251159668
fginjk,0.8533123028391167,0.8580301143520961,0.8533123028391167,0.8444014822489951,0.8537062832813156,0.3258308828911195,64,5,0.001,16,False,-1,-1,353.51061433553696,0.5243407487869263
fginjk,0.8519321766561514,0.8581772781592134,0.8519321766561514,0.8414993118804119,0.8520609163028747,0.3409574392137091,64,5,0.001,8,False,-1,-1,584.0185049772263,0.5264075398445129
fginjk,0.852326498422713,0.8603911690714662,0.852326498422713,0.8415938071451962,0.8530890597786089,0.3209014467025405,64,6,0.001,64,False,-1,-1,268.5102233886719,0.626358687877655
fginjk,0.8533123028391167,0.8595379178628282,0.8533123028391167,0.8437771213740998,0.8536316174954296,0.32848297501400064,64,6,0.001,32,False,-1,-1,301.37570279836655,0.6207818388938904
fginjk,0.8521293375394321,0.8548987129408828,0.8521293375394321,0.8432949713588431,0.8524750081006589,0.3350693542357499,64,6,0.001,16,False,-1,-1,398.19151163101196,0.6266393065452576
fginjk,0.8527208201892744,0.8614006632686404,0.8527208201892744,0.8415301468654259,0.8527843449155865,0.3357333393315035,64,6,0.001,8,False,-1,-1,627.3517259955406,0.613602340221405
fginjk,0.8533123028391166,0.8637005177536353,0.8533123028391166,0.8416353446220671,0.8537853332718115,0.3248631732438453,64,7,0.001,64,False,-1,-1,231.46243864297867,0.6985353827476501
fginjk,0.8529179810725551,0.8609868314650985,0.8529179810725551,0.841810652541489,0.8534243826356003,0.3261020687241284,64,7,0.001,32,False,-1,-1,316.85626888275146,0.6908040642738342
fginjk,0.8521293375394321,0.8570957033277306,0.8521293375394321,0.84254552002012,0.8526745779088815,0.3347457622409995,64,7,0.001,16,False,-1,-1,450.50602573156357,0.6870483756065369
fginjk,0.8501577287066246,0.8530584476500189,0.8501577287066246,0.8394332436978843,0.8497701075383469,0.348922656596365,64,7,0.001,8,False,-1,-1,720.8763808608055,0.697181224822998
fginjk,0.8533123028391167,0.8560592090810164,0.8533123028391167,0.84446168398794,0.8540112145469176,0.33973373155394565,32,4,0.001,64,False,-1,-1,149.5016434788704,0.44243329763412476
fginjk,0.8527208201892744,0.8574008364432565,0.8527208201892744,0.8434629693673787,0.8529670468159223,0.32907417442426323,32,4,0.001,32,False,-1,-1,203.1439949274063,0.44404929876327515
fginjk,0.8527208201892744,0.8610909469479342,0.8527208201892744,0.8419135058216781,0.8532340389986547,0.33295333525312815,32,4,0.001,16,False,-1,-1,288.8022426366806,0.45002466440200806
