model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
rgin,0.8448343848580442,0.8457996241989272,0.8448343848580442,0.8334281291138552,0.8445004686239999,0.37415175485404134,128,4,0.001,128,False,-1,-1,588.5905089378357,0.6942585706710815
rgin,0.8477917981072556,0.8550643644232095,0.8477917981072556,0.835707489703291,0.8480513252459811,0.37305969679111184,128,4,0.001,64,False,-1,-1,399.08337128162384,0.6875252723693848
rgin,0.85153785488959,0.852937543041685,0.85153785488959,0.8424698411553748,0.8518329298258218,0.3586856796984981,128,4,0.001,32,False,-1,-1,490.70941561460495,0.7090334296226501
rgin,0.8517350157728707,0.8544203858497302,0.8517350157728707,0.8417373718791028,0.8522514396075966,0.3519955045699321,128,4,0.001,16,False,-1,-1,553.9424137473106,0.7331292033195496
rgin,0.8501577287066246,0.8598863444336122,0.8501577287066246,0.8373579734395947,0.8506832206850746,0.3638644774770511,128,4,0.001,8,False,-1,-1,810.3051739931107,0.7309519052505493
rgin,0.8513406940063092,0.852458236171986,0.8513406940063092,0.8430279201131442,0.8517152590350741,0.3617413804898691,128,5,0.001,128,False,-1,-1,931.1755417585373,0.8655964732170105
rgin,0.84897476340694,0.8511221333032385,0.84897476340694,0.8401047289206284,0.8497389866144403,0.37622474128092503,128,5,0.001,64,False,-1,-1,587.7898676395416,0.8410456776618958
rgin,0.8503548895899053,0.8524333040606414,0.8503548895899053,0.8410790851348439,0.8507491499146245,0.3641910564495186,128,5,0.001,32,False,-1,-1,566.5686661601067,0.870041012763977
rgin,0.8515378548895899,0.8554311518095734,0.8515378548895899,0.842547070895568,0.8517679686612251,0.3633646633158723,128,5,0.001,16,False,-1,-1,780.7833966016769,0.9003524780273438
rgin,0.8497634069400631,0.85115603242623,0.8497634069400631,0.841614752093756,0.8498677332985836,0.3571652566502899,128,5,0.001,8,False,-1,-1,917.0783304572105,0.9061477184295654
rgin,0.8410883280757099,0.8437561249439017,0.8410883280757099,0.8271022717445543,0.8405822158308509,0.3926389715296425,128,6,0.001,128,False,-1,-1,723.0500144958496,1.0292542576789856
rgin,0.8464116719242902,0.8593957882325118,0.8464116719242902,0.831743266215532,0.8467553963084182,0.3738981750250239,128,6,0.001,64,False,-1,-1,670.9177359342575,0.9996398687362671
