Name,method,time,z3,calls,nodes,edges,density,conn comp,str con comp
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_600,BFS,600,30,36,90,677,0.0003933119488170051,21,90
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_1800,BFS,1800,30,56,125,765,0.00042774526913732337,38,125
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_3600,BFS,3600,30,73,177,1105,0.0002901829628172339,56,177
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_600,BFS,600,60,39,99,711,0.0003922267783918702,25,99
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_1800,BFS,1800,60,46,106,731,0.00039727901354871353,27,106
00a488dcf01ac8bfb5c335c05e78d7fb_autoit_3600,BFS,3600,60,73,177,1105,0.0002901829628172339,56,177
00b555420ea9cbe6aec65e02f23d5316_autoit_600,BFS,600,30,39,97,711,0.00038430300509102435,22,97
00b555420ea9cbe6aec65e02f23d5316_autoit_1800,BFS,1800,30,56,125,764,0.00042886648871566497,38,125
00b555420ea9cbe6aec65e02f23d5316_autoit_3600,BFS,3600,30,73,177,1105,0.0002901829628172339,56,177
00b555420ea9cbe6aec65e02f23d5316_autoit_600,BFS,600,60,38,95,695,0.00039392117429975327,22,95
00b555420ea9cbe6aec65e02f23d5316_autoit_1800,BFS,1800,60,64,146,1011,0.00028596331443233344,44,146
00b555420ea9cbe6aec65e02f23d5316_autoit_3600,BFS,3600,60,73,177,1106,0.0002896582196656657,56,177
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_600,BFS,600,30,34,48,64,0.023809523809523808,23,48
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_1800,BFS,1800,30,34,49,67,0.022161917684305744,23,49
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_3600,BFS,3600,30,34,53,103,0.010089472682276794,23,53
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_600,BFS,600,60,34,48,64,0.023809523809523808,23,48
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_1800,BFS,1800,60,34,50,72,0.019561815336463225,23,50
000cddb6834a9ea3a36fbf0e940aa9c7_bancteian_3600,BFS,3600,60,34,53,103,0.010089472682276794,23,53
00e6f3ce1db4dc149f96d0e59358ce37_bancteian_600,BFS,600,30,34,48,64,0.023809523809523808,23,48
00e6f3ce1db4dc149f96d0e59358ce37_bancteian_1800,BFS,1800,30,34,50,72,0.019561815336463225,23,50
00e6f3ce1db4dc149f96d0e59358ce37_bancteian_3600,BFS,3600,30,34,53,103,0.010089472682276794,23,53
00e6f3ce1db4dc149f96d0e59358ce37_bancteian_600,BFS,600,60,34,48,64,0.023809523809523808,23,48
00e6f3ce1db4dc149f96d0e59358ce37_bancteian_1800,BFS,1800,60,34,50,72,0.019561815336463225,23,50
