model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
fginjk,0.9675174013921113,0.9676419600507274,0.9675174013921113,0.9675147968193912,0.9675118432385874,0.17435634338792322,128,4,0.001,64,False,-1,-1,143.66145539283752,0.23310965299606323
fginjk,0.9669373549883991,0.9671853018523655,0.9669373549883991,0.9669330140249915,0.9669546726959517,0.16408552984361863,128,4,0.001,32,False,-1,-1,143.63329178094864,0.23922187089920044
fginjk,0.9675174013921114,0.967786523241732,0.9675174013921114,0.9675115908860202,0.9675010766580534,0.15179251596018814,128,4,0.001,16,False,-1,-1,154.30750942230225,0.23370110988616943
fginjk,0.9721577726218097,0.9723038350334907,0.9721577726218097,0.9721550114881987,0.9721441645133506,0.1230184046252849,128,4,0.001,8,False,-1,-1,317.42652356624603,0.24134695529937744
fginjk,0.974477958236659,0.9745851103323413,0.974477958236659,0.9744765404392083,0.974483204134367,0.14583242104227792,128,5,0.001,64,False,-1,-1,162.48781245946884,0.29041826725006104
fginjk,0.9692575406032483,0.9694081894931177,0.9692575406032483,0.9692557042608333,0.9692721791559,0.13112225949444448,128,5,0.001,32,False,-1,-1,165.56326568126678,0.27582693099975586
fginjk,0.9733178654292344,0.9733480457305517,0.9733178654292344,0.9733172283999352,0.9733096468561584,0.11518001223059712,128,5,0.001,16,False,-1,-1,249.19218242168427,0.2770158052444458
fginjk,0.9680974477958237,0.9683374552146714,0.9680974477958237,0.9680937120677113,0.9681147717484926,0.12992563209520208,128,5,0.001,8,False,-1,-1,274.8532218337059,0.29509788751602173
fginjk,0.9680974477958236,0.9682952533762272,0.9680974477958236,0.9680933440193142,0.9680743970714901,0.14074861729169685,128,6,0.001,64,False,-1,-1,168.6171619296074,0.35562872886657715
fginjk,0.9651972157772621,0.9652875290527627,0.9651972157772621,0.9651954356442267,0.9651889534883721,0.13834635366003942,128,6,0.001,32,False,-1,-1,183.9639145731926,0.31798529624938965
fginjk,0.9692575406032483,0.9694021652447447,0.9692575406032483,0.9692536737088354,0.9692425710594315,0.10790492001806955,128,6,0.001,16,False,-1,-1,245.85962760448456,0.32055097818374634
