model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
ginjk,0.7853828306264501,0.794181282272377,0.7853828306264501,0.7837768100339144,0.7852928509905255,0.49401749869302913,128,4,0.001,64,False,-1,-1,76.57910054922104,0.14923542737960815
ginjk,0.8381670533642691,0.8460599678719111,0.8381670533642691,0.8368100754625605,0.8380437123169681,0.4173215781781485,128,4,0.001,32,False,-1,-1,99.11111968755722,0.14469939470291138
ginjk,0.8642691415313224,0.8655787120180674,0.8642691415313224,0.8641514927560217,0.8642414944013782,0.34586233631848184,128,4,0.001,16,False,-1,-1,110.6161407828331,0.1433979868888855
ginjk,0.8915313225058005,0.8919379096592357,0.8915313225058005,0.891504063570782,0.8915509259259259,0.3054669943061201,128,4,0.001,8,False,-1,-1,160.2559323310852,0.13935577869415283
ginjk,0.8526682134570767,0.8581246262093531,0.8526682134570767,0.8519913275313267,0.8525301464254953,0.38832970846902465,128,5,0.001,64,False,-1,-1,153.83420807123184,0.17006176710128784
ginjk,0.910092807424594,0.911108684752053,0.910092807424594,0.9100257434169654,0.9100452196382428,0.2865966703059917,128,5,0.001,32,False,-1,-1,182.35598301887512,0.17144864797592163
ginjk,0.9129930394431555,0.9160591040668112,0.9129930394431555,0.9127495343143357,0.9129548880275624,0.31377197123562656,128,5,0.001,16,False,-1,-1,151.96869534254074,0.17246001958847046
ginjk,0.9344547563805103,0.9348849684787928,0.9344547563805103,0.9344382395589006,0.9344665159345392,0.2121022119794015,128,5,0.001,8,False,-1,-1,161.30638754367828,0.17183107137680054
ginjk,0.9060324825986079,0.9110690229706822,0.9060324825986079,0.9056198932509691,0.9059619939707149,0.26705166951617065,128,6,0.001,64,False,-1,-1,219.46037232875824,0.20441395044326782
ginjk,0.8880510440835266,0.8900656921594969,0.8880510440835266,0.8878987661276412,0.8879683462532301,0.3083726617479545,128,6,0.001,32,False,-1,-1,127.57879477739334,0.20668578147888184
ginjk,0.8979118329466358,0.8988154919051442,0.8979118329466358,0.8978388258072637,0.8978655254091301,0.2762842259333056,128,6,0.001,16,False,-1,-1,131.74587577581406,0.20429062843322754
ginjk,0.931554524361949,0.9322664862780085,0.931554524361949,0.931525722803695,0.9315783807062876,0.20964694205507325,128,6,0.001,8,False,-1,-1,185.16521495580673,0.19850993156433105
ginjk,0.8950116009280743,0.8993309991624828,0.8950116009280743,0.8946442077851366,0.8949316322136089,0.2859134510799101,128,7,0.001,64,False,-1,-1,180.17294150590897,0.2500917315483093
ginjk,0.8602088167053364,0.8699514861521904,0.8602088167053364,0.8591134984120622,0.8600290697674418,0.3682977422000084,128,7,0.001,32,False,-1,-1,115.54753613471985,0.235173761844635
ginjk,0.9147331786542924,0.917623244638456,0.9147331786542924,0.9145757429964065,0.9146479328165374,0.2531601416072409,128,7,0.001,16,False,-1,-1,155.87498086690903,0.229750394821167
ginjk,0.9216937354988399,0.9236706479032153,0.9216937354988399,0.9215703977620007,0.9216892764857881,0.22441621263470424,128,7,0.001,8,False,-1,-1,209.97614359855652,0.24208831787109375
ginjk,0.824245939675174,0.8286967673366228,0.824245939675174,0.8235948757959581,0.8243055555555554,0.4205034657742336,64,4,0.001,64,False,-1,-1,79.28419315814972,0.1137128472328186
ginjk,0.7940835266821346,0.7968930499118407,0.7940835266821346,0.7935921510260993,0.793978789836348,0.4398805635642009,64,4,0.001,32,False,-1,-1,65.08933979272842,0.11059045791625977
ginjk,0.8538283062645011,0.8570321527150814,0.8538283062645011,0.8534669382040772,0.8538140611541774,0.3615979403127719,64,4,0.001,16,False,-1,-1,101.0251972079277,0.11038553714752197
ginjk,0.9118329466357309,0.9119647664202781,0.9118329466357309,0.911825076963052,0.9118486218776916,0.2570258755681997,64,4,0.001,8,False,-1,-1,186.43791222572327,0.1090206503868103
ginjk,0.8271461716937356,0.8311782579717063,0.8271461716937356,0.8263001105510501,0.8270187338501293,0.4351690365368902,64,5,0.001,64,False,-1,-1,77.24988687038422,0.1223067045211792
ginjk,0.8868909512761022,0.8886107759302351,0.8868909512761022,0.886628084198317,0.8868351636520241,0.3346429294766102,64,5,0.001,32,False,-1,-1,105.04316264390945,0.13250762224197388
ginjk,0.8996519721577727,0.9041045036975933,0.8996519721577727,0.8992518227202002,0.899553186907838,0.31965124921704663,64,5,0.001,16,False,-1,-1,135.2307311296463,0.12954479455947876
ginjk,0.9164733178654292,0.9176338655724858,0.9164733178654292,0.91637736133824,0.9164190353143842,0.23768353322196722,64,5,0.001,8,False,-1,-1,128.49394780397415,0.12934046983718872
ginjk,0.9002320185614849,0.9021276878207966,0.9002320185614849,0.9000991785769034,0.9001614987080104,0.29740486977721314,64,6,0.001,64,False,-1,-1,128.9684322476387,0.1567997932434082
ginjk,0.9222737819025523,0.9230105951987233,0.9222737819025523,0.9222369210223261,0.9222410637381566,0.2420566137102184,64,6,0.001,32,False,-1,-1,154.00058913230896,0.15516328811645508
ginjk,0.9454756380510442,0.9473559415595197,0.9454756380510442,0.9453965893902294,0.945426894918174,0.22815254588639514,64,6,0.001,16,False,-1,-1,161.84837317466736,0.15554916858673096
ginjk,0.9431554524361949,0.9435704885383545,0.9431554524361949,0.943139687234514,0.9431659130060293,0.1784262914046334,64,6,0.001,8,False,-1,-1,171.8659634590149,0.15632307529449463
ginjk,0.9135730858468678,0.9150083295911069,0.9135730858468678,0.9134951092424206,0.9135282084409992,0.2541475712457832,64,7,0.001,64,False,-1,-1,143.61844342947006,0.18247824907302856
ginjk,0.8874709976798144,0.8923560612395893,0.8874709976798144,0.8868904906511929,0.8873546511627907,0.3028943667106175,64,7,0.001,32,False,-1,-1,122.34541177749634,0.1852254867553711
ginjk,0.9269141531322506,0.9287015507439123,0.9269141531322506,0.9268231759292556,0.9268437769164514,0.2175528000685842,64,7,0.001,16,False,-1,-1,139.36878716945648,0.18027383089065552
ginjk,0.9263341067285382,0.9266164405469026,0.9263341067285382,0.9263197430923122,0.9263135228251508,0.22001569670583976,64,7,0.001,8,False,-1,-1,168.18854254484177,0.1891750693321228
ginjk,0.775522041763341,0.7763420185481409,0.775522041763341,0.7753867832497172,0.7755464039621016,0.49381330709584625,32,4,0.001,64,False,-1,-1,47.357272922992706,0.09894007444381714
