model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
rgin,0.9547563805104408,0.9552841969014034,0.9547563805104408,0.9547434147875978,0.9547265288544358,0.20640826388856442,128,4,0.001,64,False,-1,-1,335.2617190480232,0.4241167902946472
rgin,0.9628770301624129,0.9634437149264294,0.9628770301624129,0.9628633454913809,0.9628606804478899,0.18200095016790202,128,4,0.001,32,False,-1,-1,382.91148287057877,0.4378508925437927
rgin,0.9559164733178654,0.9563850680454434,0.9559164733178654,0.9559006913734778,0.9558866279069769,0.2000297572263333,128,4,0.001,16,False,-1,-1,246.967249751091,0.4474117159843445
rgin,0.9646171693735498,0.9649506606455843,0.9646171693735498,0.9646092650672913,0.9645994832041344,0.16208822742264434,128,4,0.001,8,False,-1,-1,335.0926468372345,0.4407782554626465
rgin,0.9611368909512761,0.9614701866080253,0.9611368909512761,0.9611286952216989,0.9611057278208441,0.16738426816928484,128,5,0.001,64,False,-1,-1,425.6484023332596,0.5830457806587219
rgin,0.9576566125290024,0.9581462697344978,0.9576566125290024,0.9576457004922604,0.9576335055986219,0.20046853973733353,128,5,0.001,32,False,-1,-1,331.1988105773926,0.5626516938209534
rgin,0.9588167053364269,0.9593241876976264,0.9588167053364269,0.9587980710625813,0.9588043712316968,0.17237762629520148,128,5,0.001,16,False,-1,-1,347.59277510643005,0.54056715965271
rgin,0.9634570765661252,0.963569027457433,0.9634570765661252,0.9634545845025525,0.963447459086994,0.17466946948603823,128,5,0.001,8,False,-1,-1,480.2589313387871,0.5259929895401001
rgin,0.9663573085846868,0.966658817233873,0.9663573085846868,0.9663518737498142,0.9663571274763134,0.16913939129643296,128,6,0.001,64,False,-1,-1,524.7407616972923,0.6232582330703735
rgin,0.9651972157772621,0.9653628343176367,0.9651972157772621,0.9651941928589356,0.965199720068906,0.16438498649435018,128,6,0.001,32,False,-1,-1,376.7338515520096,0.5870633721351624
rgin,0.9704176334106729,0.9705239376188423,0.9704176334106729,0.9704152224340332,0.9704161283376399,0.12275601778203178,128,6,0.001,16,False,-1,-1,643.2041320204735,0.6496147513389587
rgin,0.9663573085846868,0.9664820108855156,0.9663573085846868,0.9663548352765405,0.96635443583118,0.16972241245897318,128,6,0.001,8,False,-1,-1,496.7093159556389,0.6324912309646606
rgin,0.9709976798143852,0.9710637792476077,0.9709976798143852,0.9709966680401805,0.9709894487510766,0.1423124875279096,128,7,0.001,64,False,-1,-1,632.7212764024734,0.730495810508728
rgin,0.9617169373549883,0.9621041074850368,0.9617169373549883,0.9617082511099109,0.9617059646856159,0.15440849019290143,128,7,0.001,32,False,-1,-1,427.7896298766136,0.7533796429634094
rgin,0.9675174013921114,0.9675893224621847,0.9675174013921114,0.9675149528886843,0.9675064599483204,0.1721225559102099,128,7,0.001,16,False,-1,-1,661.2051987051964,0.7465320229530334
rgin,0.9640371229698377,0.964512622779018,0.9640371229698377,0.9640231949561765,0.9640153962101636,0.17330812882340846,128,7,0.001,8,False,-1,-1,523.8092278242111,0.733760416507721
rgin,0.9599767981438515,0.9601647127203621,0.9599767981438515,0.9599714824975922,0.9599563953488373,0.2038697625711353,64,4,0.001,64,False,-1,-1,199.53851222991943,0.207261860370636
