model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
ginjk,0.7679814385150812,0.7739461110000029,0.7679814385150812,0.7666546992101078,0.767807924203273,0.48907870289344524,128,4,0.001,64,fold_0,False,-1,-1,78.06214690208435,0.15440726280212402
ginjk,0.7679814385150812,0.7764906436520438,0.7679814385150812,0.7661151146542441,0.7677756244616709,0.5859953051653373,128,4,0.001,64,fold_1,False,-1,-1,52.88807225227356,0.15586447715759277
ginjk,0.8259860788863109,0.8382974602253894,0.8259860788863109,0.8244364411745997,0.8262058570198105,0.45365062701729775,128,4,0.001,64,fold_2,False,-1,-1,86.70402669906616,0.14016056060791016
ginjk,0.7795823665893271,0.787990914212072,0.7795823665893271,0.7779009850967064,0.7793819982773471,0.44734535969603645,128,4,0.001,64,fold_3,False,-1,-1,88.66215634346008,0.14650940895080566
ginjk,0.8120649651972158,0.8249267663420795,0.8120649651972158,0.8101306630846259,0.8118324720068906,0.4459908859774021,128,4,0.001,32,fold_0,False,-1,-1,65.6301999092102,0.1505579948425293
ginjk,0.8561484918793504,0.8572746146201154,0.8561484918793504,0.8560462057391222,0.8562123169681309,0.36309811244707924,128,4,0.001,32,fold_1,False,-1,-1,72.10566973686218,0.14621973037719727
ginjk,0.777262180974478,0.7942918887407157,0.777262180974478,0.7739068449888952,0.7769810508182602,0.530141195813907,128,4,0.001,32,fold_2,False,-1,-1,88.48661303520203,0.14300155639648438
ginjk,0.9071925754060325,0.9077466017847337,0.9071925754060325,0.9071565880375989,0.9071490094745909,0.3300561184742058,128,4,0.001,32,fold_3,False,-1,-1,170.22199606895447,0.13901829719543457
ginjk,0.851508120649652,0.8517712530412495,0.851508120649652,0.8514745382266921,0.851475021533161,0.33068654515073914,128,4,0.001,16,fold_0,False,-1,-1,84.54496502876282,0.1355147361755371
ginjk,0.8793503480278422,0.8819930584684962,0.8793503480278422,0.8791277904174082,0.8792527993109389,0.29712195891515286,128,4,0.001,16,fold_1,False,-1,-1,125.13225364685059,0.14742016792297363
ginjk,0.8607888631090487,0.8615525762674008,0.8607888631090487,0.8607063742862842,0.8607342807924203,0.35976223844663174,128,4,0.001,16,fold_2,False,-1,-1,106.75632882118225,0.15830564498901367
ginjk,0.8654292343387471,0.8669979602951228,0.8654292343387471,0.8652972680937023,0.8655038759689923,0.3958786027614036,128,4,0.001,16,fold_3,False,-1,-1,126.03101563453674,0.13235139846801758
ginjk,0.8932714617169374,0.8933030411050707,0.8932714617169374,0.8932680142642602,0.893260120585702,0.2329410382323918,128,4,0.001,8,fold_0,False,-1,-1,180.21679019927979,0.1352100372314453
ginjk,0.8932714617169374,0.8938232961361987,0.8932714617169374,0.8932392785616008,0.8933139534883721,0.31096762940806194,128,4,0.001,8,fold_1,False,-1,-1,124.53659963607788,0.14339900016784668
ginjk,0.8816705336426914,0.8826813893870413,0.8816705336426914,0.881600426074062,0.881729112833764,0.35628687519485047,128,4,0.001,8,fold_2,False,-1,-1,127.46850275993347,0.1394510269165039
ginjk,0.8979118329466357,0.897943912008632,0.8979118329466357,0.8979085353832053,0.8979005167958656,0.3216724343891763,128,4,0.001,8,fold_3,False,-1,-1,208.80183672904968,0.13936305046081543
ginjk,0.8677494199535963,0.8776692662194738,0.8677494199535963,0.8668460738941353,0.8675602928509905,0.40512611556219114,128,5,0.001,64,fold_0,False,-1,-1,181.55578422546387,0.167161226272583
ginjk,0.877030162412993,0.8793693585225405,0.877030162412993,0.876827242983205,0.876937984496124,0.3748938616218257,128,5,0.001,64,fold_1,False,-1,-1,159.32374668121338,0.1761031150817871
ginjk,0.877030162412993,0.8788463856329286,0.877030162412993,0.8768710682590841,0.876948751076658,0.30937985740515583,128,5,0.001,64,fold_2,False,-1,-1,182.43679356575012,0.170562744140625
ginjk,0.7888631090487239,0.7966134944624698,0.7888631090487239,0.7874209249888826,0.7886735572782084,0.463918999286926,128,5,0.001,64,fold_3,False,-1,-1,92.0205078125,0.16641998291015625
ginjk,0.9002320185614849,0.9033483008645035,0.9002320185614849,0.9000274888440867,0.9001291989664082,0.32766678431471097,128,5,0.001,32,fold_0,False,-1,-1,146.20147848129272,0.16354775428771973
ginjk,0.9535962877030162,0.9536343628513668,0.9535962877030162,0.9535947888105479,0.9535852713178294,0.166772705980354,128,5,0.001,32,fold_1,False,-1,-1,214.75259375572205,0.18032026290893555
ginjk,0.8723897911832946,0.8725835149337265,0.8723897911832946,0.872369178415684,0.8723621877691645,0.3256759138436439,128,5,0.001,32,fold_2,False,-1,-1,176.45028638839722,0.1728355884552002
ginjk,0.91415313225058,0.9148685603586152,0.91415313225058,0.9141115175975434,0.9141042204995693,0.32627127708525777,128,5,0.001,32,fold_3,False,-1,-1,192.0195734500885,0.16909098625183105
ginjk,0.9535962877030162,0.9535962877030162,0.9535962877030162,0.9535962877030162,0.9535960378983634,0.31012879516021835,128,5,0.001,16,fold_0,False,-1,-1,200.47226405143738,0.1692488193511963
ginjk,0.8561484918793504,0.8631442262249801,0.8561484918793504,0.8554245638352368,0.8559862187769165,0.37233139508838164,128,5,0.001,16,fold_1,False,-1,-1,98.76210713386536,0.18115854263305664
ginjk,0.9443155452436195,0.9467696109156069,0.9443155452436195,0.9442338823958919,0.944229112833764,0.22670394244437428,128,5,0.001,16,fold_2,False,-1,-1,232.30591249465942,0.17411017417907715
ginjk,0.8979118329466357,0.9007262914236417,0.8979118329466357,0.8977434033231976,0.8980081826012059,0.34592375224953187,128,5,0.001,16,fold_3,False,-1,-1,76.3344976902008,0.16532254219055176
