model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
rgin,0.9466357308584686,0.9468734486477083,0.9466357308584686,0.9466271109738316,0.946608527131783,0.24722205268396302,128,4,0.001,64,fold_0,False,-1,-1,346.68142795562744,0.4193434715270996
rgin,0.9651972157772621,0.9664086144080781,0.9651972157772621,0.9651724660640495,0.9651378122308354,0.17641880517077832,128,4,0.001,64,fold_1,False,-1,-1,342.0049138069153,0.4911081790924072
rgin,0.9535962877030162,0.9536363580950036,0.9535962877030162,0.9535957880937108,0.9536068044788975,0.2354004647574126,128,4,0.001,64,fold_2,False,-1,-1,290.3148148059845,0.4132983684539795
rgin,0.9535962877030162,0.9542183664548236,0.9535962877030162,0.9535782940187995,0.9535529715762274,0.16659173294210378,128,4,0.001,64,fold_3,False,-1,-1,362.0457196235657,0.37271714210510254
rgin,0.9582366589327146,0.9588725290503405,0.9582366589327146,0.9582240655241048,0.9582795004306632,0.21383551644321247,128,4,0.001,32,fold_0,False,-1,-1,692.9127025604248,0.41544055938720703
rgin,0.9767981438515081,0.9771665892071315,0.9767981438515081,0.9767928965979207,0.9767657192075796,0.08298414402799098,128,4,0.001,32,fold_1,False,-1,-1,437.79069471359253,0.4804065227508545
rgin,0.951276102088167,0.9524494722815279,0.951276102088167,0.9512414524896693,0.9512166236003445,0.2460665621745061,128,4,0.001,32,fold_2,False,-1,-1,180.7257113456726,0.4323008060455322
rgin,0.9651972157772621,0.9652862691667181,0.9651972157772621,0.9651949673538286,0.9651808785529716,0.18511757802589862,128,4,0.001,32,fold_3,False,-1,-1,220.21682286262512,0.42325568199157715
rgin,0.9350348027842227,0.9356296605867876,0.9350348027842227,0.9350096116263191,0.9349913867355728,0.28899970477805614,128,4,0.001,16,fold_0,False,-1,-1,153.21531176567078,0.41620588302612305
rgin,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.06659390528528603,128,4,0.001,16,fold_1,False,-1,-1,472.3313362598419,0.46271395683288574
rgin,0.9443155452436195,0.9449240135208057,0.9443155452436195,0.9442939528225592,0.9442721791559001,0.23917996907593755,128,4,0.001,16,fold_2,False,-1,-1,157.07894444465637,0.45241665840148926
rgin,0.9582366589327146,0.9588655429218327,0.9582366589327146,0.9582204646169193,0.958193367786391,0.2053454497660534,128,4,0.001,16,fold_3,False,-1,-1,205.24340653419495,0.4583103656768799
rgin,0.9419953596287703,0.9420829024895451,0.9419953596287703,0.9419934860636168,0.9420111972437555,0.2656560044070131,128,4,0.001,8,fold_0,False,-1,-1,240.1090579032898,0.4204702377319336
rgin,0.988399071925754,0.9884094642468679,0.988399071925754,0.9883989470214105,0.9883936261843238,0.07665507233077164,128,4,0.001,8,fold_1,False,-1,-1,254.04782915115356,0.47828006744384766
rgin,0.9698375870069605,0.9700890529333275,0.9698375870069605,0.9698327148982525,0.9698105081826012,0.0940178619944026,128,4,0.001,8,fold_2,False,-1,-1,573.1933059692383,0.4323549270629883
rgin,0.9582366589327146,0.9592212229125966,0.9582366589327146,0.9582119122858852,0.958182601205857,0.21202397095838998,128,4,0.001,8,fold_3,False,-1,-1,273.02039432525635,0.4320077896118164
rgin,0.9466357308584686,0.9468734486477083,0.9466357308584686,0.9466271109738316,0.946608527131783,0.23325841465917374,128,5,0.001,64,fold_0,False,-1,-1,361.08892798423767,0.5105776786804199
rgin,0.9767981438515081,0.9771665892071315,0.9767981438515081,0.9767928965979207,0.9767657192075796,0.09820863158547961,128,5,0.001,64,fold_1,False,-1,-1,604.3701310157776,0.759774923324585
rgin,0.9559164733178654,0.9563947765010578,0.9559164733178654,0.955903179201675,0.9558785529715762,0.17008047547459326,128,5,0.001,64,fold_2,False,-1,-1,391.74958872795105,0.5383701324462891
rgin,0.9651972157772621,0.9654459320762037,0.9651972157772621,0.9651915941133683,0.9651701119724376,0.16798955095789272,128,5,0.001,64,fold_3,False,-1,-1,345.384961605072,0.5234603881835938
rgin,0.9582366589327146,0.9582366589327146,0.9582366589327146,0.9582366589327146,0.9582364341085272,0.22734074114785116,128,5,0.001,32,fold_0,False,-1,-1,284.6248815059662,0.5081744194030762
