model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
fginjk,0.8596214511041009,0.8633909777945655,0.8596214511041009,0.8517406410527547,0.8601942408711702,0.3536250361414738,128,4,0.001,64,fold_0,False,-1,-1,218.98947191238403,0.6147289276123047
fginjk,0.8485804416403786,0.8494104480771975,0.8485804416403786,0.8401830750857266,0.8497395547998269,0.3097976793062048,128,4,0.001,64,fold_1,False,-1,-1,277.63231801986694,0.6012518405914307
fginjk,0.8462145110410094,0.8496581553509819,0.8462145110410094,0.8366839926491888,0.8475559207645903,0.34782664567138116,128,4,0.001,64,fold_2,False,-1,-1,195.17232942581177,0.6246812343597412
fginjk,0.862776025236593,0.866840794926175,0.862776025236593,0.8544111960491781,0.8635313305592262,0.2996133350611485,128,4,0.001,64,fold_3,False,-1,-1,271.93251848220825,0.6700916290283203
fginjk,0.8572555205047319,0.8672255806978645,0.8572555205047319,0.8461499212915086,0.8568152449604342,0.35625018762301197,128,4,0.001,32,fold_0,False,-1,-1,336.6377682685852,0.6026811599731445
fginjk,0.8501577287066246,0.8525045747337816,0.8501577287066246,0.842425034730408,0.8510723332984007,0.3102451804026444,128,4,0.001,32,fold_1,False,-1,-1,355.3908953666687,0.5965168476104736
fginjk,0.8477917981072555,0.8509190968094936,0.8477917981072555,0.8402520226641682,0.8485181326683288,0.3526042395209664,128,4,0.001,32,fold_2,False,-1,-1,320.39734077453613,0.6078267097473145
fginjk,0.861198738170347,0.8632162670156667,0.861198738170347,0.8537189716051287,0.8613796360998394,0.2970121004604015,128,4,0.001,32,fold_3,False,-1,-1,353.87964129447937,0.6209659576416016
fginjk,0.8572555205047319,0.8688251115560702,0.8572555205047319,0.8454174727070833,0.856968937421819,0.36147932886889306,128,4,0.001,16,fold_0,False,-1,-1,334.4313898086548,0.6175508499145508
fginjk,0.8485804416403786,0.8503111309014264,0.8485804416403786,0.839776226820666,0.8496338912326249,0.31039916632303305,128,4,0.001,16,fold_1,False,-1,-1,449.6558380126953,0.5977754592895508
fginjk,0.8422712933753943,0.847358886276025,0.8422712933753943,0.8318513425927581,0.8415338474545471,0.35177665751439163,128,4,0.001,16,fold_2,False,-1,-1,454.85087609291077,0.5822832584381104
fginjk,0.86198738170347,0.8639942539971994,0.86198738170347,0.8539761011864482,0.8621113093115008,0.29569624190450844,128,4,0.001,16,fold_3,False,-1,-1,509.5219097137451,0.5909781455993652
fginjk,0.8509463722397477,0.8807544962908902,0.8509463722397477,0.8296470171717103,0.8507292399578528,0.3808722812858666,128,4,0.001,8,fold_0,False,-1,-1,400.6801497936249,0.5598418712615967
fginjk,0.8462145110410094,0.846959794423887,0.8462145110410094,0.8378380520414312,0.8465596466351181,0.3252668338901237,128,4,0.001,8,fold_1,False,-1,-1,439.94416975975037,0.5618021488189697
fginjk,0.8399053627760252,0.8438568279618575,0.8399053627760252,0.8272735188958812,0.839236036922717,0.36846506426387027,128,4,0.001,8,fold_2,False,-1,-1,514.1278462409973,0.5680243968963623
