model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
ginjk,0.8091482649842271,0.8089457377040086,0.8091482649842271,0.7747792224546753,0.8069841054365453,0.6266813395715286,128,4,0.001,64,fold_0,False,-1,-1,201.74511051177979,0.44710397720336914
ginjk,0.804416403785489,0.7741831576101494,0.804416403785489,0.7794401631469812,0.8002915759098111,0.5492182813984362,128,4,0.001,64,fold_1,False,-1,-1,148.01733326911926,0.4416956901550293
ginjk,0.8241324921135647,0.8476833997455892,0.8241324921135647,0.7994617939015513,0.8227702935162781,0.46451975673155077,128,4,0.001,64,fold_2,False,-1,-1,340.60142636299133,0.5083587169647217
ginjk,0.7981072555205048,0.7794015643559119,0.7981072555205048,0.7631721649864477,0.7931932360066137,0.6820705484140559,128,4,0.001,64,fold_0,False,-1,-1,173.4078664779663,0.43593764305114746
ginjk,0.8359621451104101,0.8321162511148944,0.8359621451104101,0.8241166615862344,0.8353349453247947,0.38753742078313314,128,4,0.001,64,fold_1,False,-1,-1,338.66443061828613,0.4120211601257324
ginjk,0.7933753943217665,0.7497752335273077,0.7933753943217665,0.7470838008594493,0.7903963940774048,0.6660428166577492,128,4,0.001,64,fold_2,False,-1,-1,153.3251190185547,0.44121623039245605
ginjk,0.8556782334384858,0.8554413366150188,0.8556782334384858,0.8486683085454491,0.8544619871182684,0.3403409617932437,128,4,0.001,64,fold_3,False,-1,-1,410.81427788734436,0.43166446685791016
ginjk,0.8146687697160884,0.7946659142618969,0.8146687697160884,0.7959496771829874,0.8112081301049313,0.5747356405393559,128,4,0.001,32,fold_0,False,-1,-1,209.80658650398254,0.4118509292602539
ginjk,0.8375394321766562,0.8359742077546297,0.8375394321766562,0.821462404608002,0.8367128393280451,0.39906819846351815,128,4,0.001,32,fold_1,False,-1,-1,342.52641248703003,0.412189245223999
ginjk,0.8138801261829653,0.8082757017076895,0.8138801261829653,0.7992880613067912,0.811879462965516,0.5556727015069607,128,4,0.001,32,fold_2,False,-1,-1,217.68805074691772,0.4336841106414795
ginjk,0.8588328075709779,0.860229446073409,0.8588328075709779,0.8502282369372484,0.8588649514345588,0.3308457765105395,128,4,0.001,32,fold_3,False,-1,-1,409.43099212646484,0.41806602478027344
ginjk,0.8501577287066246,0.8834583458253753,0.8501577287066246,0.8274821204851717,0.850290891740523,0.3822880313975578,128,4,0.001,16,fold_0,False,-1,-1,474.7207100391388,0.4103374481201172
ginjk,0.8296529968454258,0.8176834226101292,0.8296529968454258,0.8111409318504313,0.8269786677574705,0.40293706008688507,128,4,0.001,16,fold_1,False,-1,-1,270.5404589176178,0.4132392406463623
ginjk,0.833596214511041,0.8370263992070782,0.833596214511041,0.8207960528651801,0.8332829720637521,0.4145285333932762,128,4,0.001,16,fold_2,False,-1,-1,543.9171628952026,0.43204402923583984
ginjk,0.8422712933753943,0.8402515811075508,0.8422712933753943,0.829145949900793,0.8387335795123824,0.4030290128492783,128,4,0.001,16,fold_3,False,-1,-1,342.2129473686218,0.41927480697631836
ginjk,0.8525236593059937,0.8612090102500902,0.8525236593059937,0.8392154858938439,0.8506507597070765,0.44143301384870187,128,4,0.001,8,fold_0,False,-1,-1,485.9816219806671,0.4086132049560547
ginjk,0.8375394321766562,0.8358290787068217,0.8375394321766562,0.828794440314233,0.8366478147860618,0.368756509306679,128,4,0.001,8,fold_1,False,-1,-1,467.0646743774414,0.4050619602203369
ginjk,0.8359621451104101,0.836884139613837,0.8359621451104101,0.8251538712567397,0.8345773274469798,0.42009151771617614,128,4,0.001,8,fold_2,False,-1,-1,963.9850718975067,0.4125072956085205
ginjk,0.8580441640378549,0.8578018887402736,0.8580441640378549,0.8497583515005985,0.8584547230741049,0.31922929397892874,128,4,0.001,8,fold_3,False,-1,-1,1219.0933215618134,0.40744757652282715
ginjk,0.8548895899053628,0.8556509298282803,0.8548895899053628,0.8458570224501202,0.8546472523328806,0.5330326383234198,128,5,0.001,64,fold_0,False,-1,-1,340.7299289703369,0.4793102741241455
ginjk,0.8233438485804416,0.8477806811315864,0.8233438485804416,0.7997439154389685,0.822594746868169,0.5286981295147904,128,5,0.001,64,fold_1,False,-1,-1,215.98760437965393,0.49808406829833984
ginjk,0.8217665615141956,0.8226388768443771,0.8217665615141956,0.8074691611918078,0.8201897633584092,0.4842119903218483,128,5,0.001,64,fold_2,False,-1,-1,367.07932686805725,0.499100923538208
ginjk,0.8533123028391167,0.8560822652254078,0.8533123028391167,0.8435686809507528,0.8523542627732742,0.36416756523896465,128,5,0.001,64,fold_3,False,-1,-1,458.1480441093445,0.48630332946777344
ginjk,0.8556782334384858,0.8582311195544733,0.8556782334384858,0.8470578200660892,0.8559124882697761,0.3891128778269614,128,5,0.001,32,fold_0,False,-1,-1,642.4529840946198,0.521782636642456
ginjk,0.831230283911672,0.8334897734483836,0.831230283911672,0.8191558934042533,0.8289199190820645,0.4899310575862788,128,5,0.001,32,fold_1,False,-1,-1,220.50491333007812,0.491225004196167
ginjk,0.8359621451104101,0.8354611257284805,0.8359621451104101,0.8270665435276862,0.8362703257605908,0.4456207575482149,128,5,0.001,32,fold_2,False,-1,-1,525.6797816753387,0.5005805492401123
ginjk,0.8249211356466877,0.8423380508300998,0.8249211356466877,0.7993547981431823,0.8211441598123902,0.42407186559698185,128,5,0.001,32,fold_3,False,-1,-1,233.13777828216553,0.5087347030639648
ginjk,0.8501577287066246,0.8538270320421489,0.8501577287066246,0.8411474691785185,0.8488209987286974,0.43740383561477303,128,5,0.001,16,fold_0,False,-1,-1,327.6769001483917,0.49990034103393555
ginjk,0.832807570977918,0.832948943194166,0.832807570977918,0.8204034715015754,0.8313166075317775,0.4210294822601114,128,5,0.001,16,fold_1,False,-1,-1,360.04421830177307,0.49563121795654297
ginjk,0.830441640378549,0.8314440154271896,0.830441640378549,0.8174799094246912,0.8297426637813619,0.3977040453852163,128,5,0.001,16,fold_2,False,-1,-1,983.7317385673523,0.4895761013031006
ginjk,0.8351735015772871,0.8664918813100794,0.8351735015772871,0.8066966643960402,0.8338368180046329,0.4088293210565104,128,5,0.001,16,fold_3,False,-1,-1,350.32601952552795,0.5048835277557373
ginjk,0.8525236593059937,0.8543133885828926,0.8525236593059937,0.8433716853058412,0.8515658267162437,0.40762307516031837,128,5,0.001,8,fold_0,False,-1,-1,577.7884199619293,0.496856689453125
ginjk,0.8367507886435331,0.864557768162309,0.8367507886435331,0.8150072835448627,0.8366721779729699,0.37418060216241833,128,5,0.001,8,fold_1,False,-1,-1,739.6688179969788,0.48310256004333496
ginjk,0.8351735015772871,0.8604770568489742,0.8351735015772871,0.8137081186271093,0.8356435253765089,0.4547917558003675,128,5,0.001,8,fold_2,False,-1,-1,636.768438577652,0.4922029972076416
ginjk,0.86198738170347,0.8652811162808773,0.86198738170347,0.8546786815599233,0.8624771196469122,0.29778754391504764,128,5,0.001,8,fold_3,False,-1,-1,1551.4916489124298,0.4951748847961426
ginjk,0.832807570977918,0.8567559989205497,0.832807570977918,0.8060997368284051,0.8305232286953459,0.44989502100914436,128,6,0.001,64,fold_0,False,-1,-1,311.23789954185486,0.5711452960968018
ginjk,0.8107255520504731,0.8016879923020913,0.8107255520504731,0.7975307189228376,0.808051295599813,0.5332619852448112,128,6,0.001,64,fold_1,False,-1,-1,187.43757390975952,0.565223217010498
ginjk,0.831230283911672,0.8611259451431243,0.831230283911672,0.8101507399285266,0.8308162727713265,0.4533033857022174,128,6,0.001,64,fold_2,False,-1,-1,572.7976853847504,0.5770590305328369
ginjk,0.8430599369085173,0.8438866571214765,0.8430599369085173,0.8310844464161184,0.8408292207779949,0.4263637147679314,128,6,0.001,64,fold_3,False,-1,-1,452.3151664733887,0.5734219551086426
ginjk,0.833596214511041,0.8544363529864892,0.833596214511041,0.8117882621045435,0.8316308066510552,0.5215455845515434,128,6,0.001,32,fold_0,False,-1,-1,274.32055830955505,0.5668833255767822
ginjk,0.8225552050473186,0.8191335773711242,0.8225552050473186,0.811768820788412,0.8207260741446439,0.4337756463593865,128,6,0.001,32,fold_1,False,-1,-1,249.79360270500183,0.5592141151428223
ginjk,0.8146687697160884,0.8197188804686559,0.8146687697160884,0.8000498248541876,0.8104096855435355,0.5191795809035797,128,6,0.001,32,fold_2,False,-1,-1,274.66402673721313,0.575585126876831
ginjk,0.8343848580441641,0.848459478265516,0.8343848580441641,0.8161577109281621,0.8303532815871223,0.4475004312931927,128,6,0.001,32,fold_3,False,-1,-1,260.89585614204407,0.5656630992889404
ginjk,0.8414826498422713,0.8688112430229072,0.8414826498422713,0.8208307399953337,0.840367913352535,0.4308406812159421,128,6,0.001,16,fold_0,False,-1,-1,426.67308950424194,0.5580449104309082
ginjk,0.8406940063091483,0.8405459787829301,0.8406940063091483,0.8320804991287971,0.8402379513112244,0.3539810289249811,128,6,0.001,16,fold_1,False,-1,-1,742.6106042861938,0.60530686378479
ginjk,0.8257097791798107,0.8526634416373291,0.8257097791798107,0.7997303192370103,0.825427430844023,0.49256111159685656,128,6,0.001,16,fold_2,False,-1,-1,567.3610577583313,0.5704364776611328
ginjk,0.833596214511041,0.8280711426509878,0.833596214511041,0.8222375867636227,0.8307328497411491,0.43442902232194175,128,6,0.001,16,fold_3,False,-1,-1,393.4754936695099,0.5725698471069336
ginjk,0.8533123028391167,0.8619399729541086,0.8533123028391167,0.8400529958148538,0.8523657399692173,0.41185416647876477,128,6,0.001,8,fold_0,False,-1,-1,658.7176933288574,0.57818603515625
ginjk,0.8343848580441641,0.856012577096701,0.8343848580441641,0.813297451665831,0.8340951023752462,0.39487104418713964,128,6,0.001,8,fold_1,False,-1,-1,685.4848577976227,0.6122579574584961
ginjk,0.830441640378549,0.8332241151638694,0.830441640378549,0.816629853486172,0.8291591360320386,0.43309999471207145,128,6,0.001,8,fold_2,False,-1,-1,830.5868566036224,0.5868802070617676
ginjk,0.8564668769716088,0.8584398110614556,0.8564668769716088,0.8486083048439771,0.8558891893851239,0.32404817523264356,128,6,0.001,8,fold_3,False,-1,-1,1815.372555732727,0.5881690979003906
ginjk,0.8422712933753943,0.8426064419473211,0.8422712933753943,0.8324563925572505,0.8391778265772417,0.5217953297994115,128,7,0.001,64,fold_0,False,-1,-1,229.34646320343018,0.6530237197875977
ginjk,0.8162460567823344,0.8294702735254249,0.8162460567823344,0.7896263923773801,0.8132862585457542,0.4632817796352158,128,7,0.001,64,fold_1,False,-1,-1,243.86565113067627,0.6520862579345703
ginjk,0.8154574132492114,0.8150195808247895,0.8154574132492114,0.8050857092798672,0.8127800746764342,0.5537205999393945,128,7,0.001,64,fold_2,False,-1,-1,214.5382091999054,0.663532018661499
ginjk,0.8296529968454258,0.8274702347314555,0.8296529968454258,0.8128895807388391,0.8253127657176295,0.4838655072055781,128,7,0.001,64,fold_3,False,-1,-1,222.70862197875977,0.6702466011047363
ginjk,0.8533123028391167,0.8536437356534042,0.8533123028391167,0.8439532555333035,0.8520389346389412,0.41909228119564357,128,7,0.001,32,fold_0,False,-1,-1,577.5785129070282,0.6769280433654785
ginjk,0.8430599369085173,0.8424415897750677,0.8430599369085173,0.8356523284360261,0.8429904489477011,0.3592162816682449,128,7,0.001,32,fold_1,False,-1,-1,675.0273058414459,0.6642107963562012
ginjk,0.8249211356466877,0.8404677275041446,0.8249211356466877,0.8084825919717553,0.8226046637763391,0.5394507861851894,128,7,0.001,32,fold_2,False,-1,-1,311.5581548213959,0.637357234954834
ginjk,0.832807570977918,0.8272720223220336,0.832807570977918,0.8206003024100375,0.8308121207315478,0.45595260279411776,128,7,0.001,32,fold_3,False,-1,-1,293.9511032104492,0.6737871170043945
ginjk,0.8525236593059937,0.8541662082572828,0.8525236593059937,0.8429594102193849,0.8506810022138361,0.41706100392980905,128,7,0.001,16,fold_0,False,-1,-1,407.01553559303284,0.6465721130371094
ginjk,0.8462145110410094,0.8538329860798821,0.8462145110410094,0.8353940962249721,0.8458843287270533,0.3380937932605623,128,7,0.001,16,fold_1,False,-1,-1,953.9916334152222,0.6324863433837891
ginjk,0.8383280757097792,0.836672597294562,0.8383280757097792,0.8299025698705056,0.838397793814386,0.419689087179557,128,7,0.001,16,fold_2,False,-1,-1,1011.2346580028534,0.6296494007110596
ginjk,0.8588328075709779,0.8605928679497483,0.8588328075709779,0.8505794262637615,0.8585424137339063,0.32582245743613136,128,7,0.001,16,fold_3,False,-1,-1,1011.7360973358154,0.6362795829772949
ginjk,0.8477917981072555,0.8703905735451448,0.8477917981072555,0.8271131982765094,0.8483118924503602,0.43165457041857747,128,7,0.001,8,fold_0,False,-1,-1,889.7653994560242,0.6305570602416992
ginjk,0.8438485804416404,0.844230585788389,0.8438485804416404,0.834826821668485,0.8434558872214681,0.35452673957926994,128,7,0.001,8,fold_1,False,-1,-1,1163.2591576576233,0.6244118213653564
ginjk,0.8170347003154574,0.8510085482474551,0.8170347003154574,0.7869757152931176,0.8157924393011539,0.5381341241887692,128,7,0.001,8,fold_2,False,-1,-1,684.1543190479279,0.6596019268035889
ginjk,0.8541009463722398,0.8574923831915436,0.8541009463722398,0.845163142733395,0.8532066155487041,0.3721943595431957,128,7,0.001,8,fold_3,False,-1,-1,832.0233516693115,0.6519343852996826
ginjk,0.7902208201892744,0.7605398340920743,0.7902208201892744,0.7524815966887792,0.7850080195884295,0.7383922874363439,64,4,0.001,64,fold_0,False,-1,-1,111.63980031013489,0.3575761318206787
ginjk,0.8154574132492114,0.7858806783571133,0.8154574132492114,0.7924447793500339,0.8134589760448347,0.47603466636750974,64,4,0.001,64,fold_1,False,-1,-1,242.2666893005371,0.38897156715393066
ginjk,0.8162460567823344,0.8109323494769977,0.8162460567823344,0.8050985957679208,0.8146038407451172,0.5223558836554879,64,4,0.001,64,fold_2,False,-1,-1,339.1899342536926,0.3779916763305664
ginjk,0.8225552050473186,0.8042317277305456,0.8225552050473186,0.804090968029544,0.8191377906858244,0.46446517767966355,64,4,0.001,64,fold_3,False,-1,-1,236.8290753364563,0.36655402183532715
ginjk,0.7910094637223974,0.758957025946583,0.7910094637223974,0.7692007284995226,0.7847731200067398,0.6997699589007285,64,4,0.001,32,fold_0,False,-1,-1,126.15441131591797,0.3636338710784912
ginjk,0.8036277602523659,0.7778829340965614,0.8036277602523659,0.7619207048522856,0.8006230219096664,0.5330934819738947,64,4,0.001,32,fold_1,False,-1,-1,140.6327702999115,0.36127567291259766
ginjk,0.830441640378549,0.8317241072981685,0.830441640378549,0.8149886312251396,0.8289620056073895,0.4057157915849415,64,4,0.001,32,fold_2,False,-1,-1,433.64856219291687,0.3646354675292969
ginjk,0.8430599369085173,0.8415117288451152,0.8430599369085173,0.8333549420885686,0.8409143213495843,0.3707926853410077,64,4,0.001,32,fold_3,False,-1,-1,334.7834053039551,0.3666388988494873
