model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
fginjk,0.984338747099768,0.984377720973536,0.984338747099768,0.9843384285896574,0.984342700258398,0.06365462836324347,128,4,0.001,64,False,-1,-1,138.76159954071045,0.30861812829971313
fginjk,0.9854988399071924,0.9855170147590258,0.9854988399071924,0.9854986400572169,0.9854947243755383,0.06201780816456929,128,4,0.001,32,False,-1,-1,132.5689926147461,0.3644999861717224
fginjk,0.9825986078886311,0.9828606437655645,0.9825986078886311,0.982595640794065,0.9826173557278208,0.058662422351316836,128,4,0.001,16,False,-1,-1,140.81177788972855,0.3383827209472656
fginjk,0.9796983758700697,0.9798596286707146,0.9796983758700697,0.9796964458048085,0.9797130706287683,0.06418486368308154,128,4,0.001,8,False,-1,-1,184.34476900100708,0.38153618574142456
fginjk,0.984338747099768,0.9843724863254446,0.984338747099768,0.9843384098505764,0.9843373169681309,0.07070191056219635,128,5,0.001,64,False,-1,-1,160.43812549114227,0.37681275606155396
fginjk,0.984338747099768,0.9843623179655632,0.984338747099768,0.984338597212135,0.9843400086132643,0.06242920971354534,128,5,0.001,32,False,-1,-1,137.84014278650284,0.38763123750686646
fginjk,0.9825986078886311,0.9826860178824356,0.9825986078886311,0.9825977210165509,0.9826119724375539,0.05728023332082332,128,5,0.001,16,False,-1,-1,197.5592184662819,0.383415162563324
fginjk,0.982598607888631,0.9826770610354814,0.982598607888631,0.9825981332488979,0.9826092807924203,0.06996905893152752,128,5,0.001,8,False,-1,-1,249.2561495900154,0.37826263904571533
fginjk,0.9820185614849188,0.9820991035357122,0.9820185614849188,0.9820177869658117,0.9820144272179157,0.06793007309256303,128,6,0.001,64,False,-1,-1,159.95791429281235,0.4382925033569336
fginjk,0.9808584686774942,0.9811109765228401,0.9808584686774942,0.980855139022287,0.9808758613264428,0.07507408662251329,128,6,0.001,32,False,-1,-1,168.0911362171173,0.4712234139442444
fginjk,0.9802784222737819,0.9803042207352067,0.9802784222737819,0.9802780912603256,0.9802729328165374,0.07799304721716538,128,6,0.001,16,False,-1,-1,211.7663118839264,0.4407234787940979
