model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
ginjk,0.7639211136890951,0.7658845685236695,0.7639211136890951,0.7634402844418415,0.7638458225667528,0.5575031054026842,128,4,0.001,64,False,-1,-1,85.79464530944824,0.16569775342941284
ginjk,0.8045243619489559,0.8145563677908686,0.8045243619489559,0.8028691139174272,0.8044439061154178,0.4243076226032251,128,4,0.001,32,False,-1,-1,89.65003609657288,0.14810359477996826
ginjk,0.9390951276102087,0.9392762548884596,0.9390951276102087,0.9390894679018262,0.9390773040482343,0.21167237272706496,128,4,0.001,16,False,-1,-1,188.85406774282455,0.1459062099456787
ginjk,0.8967517401392111,0.901681205968996,0.8967517401392111,0.89635578739825,0.8967027347114556,0.26896722175682225,128,4,0.001,8,False,-1,-1,156.98788821697235,0.14375072717666626
ginjk,0.872969837587007,0.8764924480685496,0.872969837587007,0.8726947282733395,0.8728897502153317,0.3591005643808095,128,5,0.001,64,False,-1,-1,179.55158650875092,0.1976523995399475
ginjk,0.8700696055684455,0.8747269635116939,0.8700696055684455,0.869458006560909,0.8700312230835486,0.3367571325285529,128,5,0.001,32,False,-1,-1,136.84429913759232,0.1796472668647766
ginjk,0.8863109048723898,0.8879599300822809,0.8863109048723898,0.8861406005987265,0.8862376184323859,0.2803643118641977,128,5,0.001,16,False,-1,-1,134.8623040318489,0.18622100353240967
ginjk,0.9077726218097448,0.9098416839206116,0.9077726218097448,0.907606414429291,0.9078407622739019,0.2315265488121529,128,5,0.001,8,False,-1,-1,209.11383295059204,0.20697349309921265
ginjk,0.9083526682134571,0.9095207597471973,0.9083526682134571,0.908282697066369,0.9082956503014643,0.31464696780988066,128,6,0.001,64,False,-1,-1,199.82874023914337,0.22119629383087158
ginjk,0.8793503480278423,0.8836021457616596,0.8793503480278423,0.8788574512177723,0.8792581826012059,0.33472972357615377,128,6,0.001,32,False,-1,-1,147.1126333475113,0.22940731048583984
ginjk,0.9089327146171694,0.9094617488833604,0.9089327146171694,0.908904429918506,0.908928186907838,0.2603579996987797,128,6,0.001,16,False,-1,-1,171.0566691160202,0.2295290231704712
ginjk,0.9332946635730859,0.9342900356821994,0.9332946635730859,0.9332578860554143,0.9332902670111973,0.19264517359764008,128,6,0.001,8,False,-1,-1,215.9872443675995,0.22336101531982422
ginjk,0.9182134570765662,0.9186664329826798,0.9182134570765662,0.9181858781097986,0.9181901378122308,0.25487908696336564,128,7,0.001,64,False,-1,-1,266.1026360988617,0.25968194007873535
ginjk,0.8863109048723897,0.88802132691695,0.8863109048723897,0.8861454107077543,0.8862349267872524,0.3048374246105794,128,7,0.001,32,False,-1,-1,153.69571363925934,0.2515140771865845
ginjk,0.9176334106728538,0.9183412612450088,0.9176334106728538,0.917594835739325,0.9176679586563308,0.2370992413659314,128,7,0.001,16,False,-1,-1,217.1974909901619,0.25391459465026855
ginjk,0.9274941995359629,0.9290618299584019,0.9274941995359629,0.9273888665932567,0.9275489879414298,0.19758886652901386,128,7,0.001,8,False,-1,-1,276.1039940714836,0.2479507327079773
ginjk,0.771461716937355,0.7772854294691618,0.771461716937355,0.7701379708568162,0.7712936046511628,0.5323626303098871,64,4,0.001,64,False,-1,-1,48.77244406938553,0.12238478660583496
ginjk,0.8126450116009281,0.8174799109096536,0.8126450116009281,0.8118658518988776,0.8125376830318691,0.4326103755430666,64,4,0.001,32,False,-1,-1,79.91851156949997,0.11985784769058228
ginjk,0.8677494199535962,0.8776566350469074,0.8677494199535962,0.8665309329288156,0.8676195090439276,0.3162834107046061,64,4,0.001,16,False,-1,-1,110.98926192522049,0.12258988618850708
ginjk,0.9205336426914152,0.9223226843308028,0.9205336426914152,0.9204469106236328,0.9205345607235143,0.23415576999363102,64,4,0.001,8,False,-1,-1,196.00707930326462,0.11702561378479004
ginjk,0.8509280742459396,0.8549159735663749,0.8509280742459396,0.8505117115207853,0.8508344099913867,0.39313154005534134,64,5,0.001,64,False,-1,-1,90.62694162130356,0.14063751697540283
ginjk,0.8607888631090487,0.8613177002391907,0.8607888631090487,0.8607338813690699,0.8607558139534883,0.34611084189464764,64,5,0.001,32,False,-1,-1,107.1044791340828,0.1525854468345642
ginjk,0.9025522041763341,0.9079167624878297,0.9025522041763341,0.9019470545972894,0.9024413221360896,0.2913311467119201,64,5,0.001,16,False,-1,-1,134.93730038404465,0.14078468084335327
ginjk,0.941415313225058,0.9426323801694189,0.941415313225058,0.9413203153792349,0.9413732773471146,0.17399959619699387,64,5,0.001,8,False,-1,-1,225.68926990032196,0.14956295490264893
ginjk,0.8642691415313225,0.866324598444445,0.8642691415313225,0.863931108593785,0.864193044788975,0.34875990227383413,64,6,0.001,64,False,-1,-1,100.39735621213913,0.16976672410964966
ginjk,0.8561484918793503,0.860215803362407,0.8561484918793503,0.8555735039543753,0.8560669681309216,0.3792078198126048,64,6,0.001,32,False,-1,-1,87.3614462018013,0.1698322296142578
ginjk,0.9141531322505799,0.9142972250972143,0.9141531322505799,0.9141471735019009,0.9141472868217053,0.2546485812509143,64,6,0.001,16,False,-1,-1,176.58817154169083,0.16621136665344238
ginjk,0.9379350348027842,0.9380909368794553,0.9379350348027842,0.9379298566794048,0.9379225882859604,0.1796476941927403,64,6,0.001,8,False,-1,-1,198.52622771263123,0.16706955432891846
ginjk,0.8979118329466357,0.8988490384069381,0.8979118329466357,0.8978287062337198,0.897870908699397,0.3100223033634942,64,7,0.001,64,False,-1,-1,133.8399235010147,0.19892579317092896
ginjk,0.8967517401392112,0.8979900240410393,0.8967517401392112,0.8966478635147928,0.8966973514211887,0.31438270091077014,64,7,0.001,32,False,-1,-1,124.8766365647316,0.19896024465560913
ginjk,0.8996519721577726,0.9005255048315226,0.8996519721577726,0.8995890113004903,0.8995989448751076,0.2773643276133421,64,7,0.001,16,False,-1,-1,139.93870598077774,0.2090674638748169
ginjk,0.9124129930394431,0.9136812302416851,0.9124129930394431,0.9123323112410223,0.9123761843238587,0.23734903936285154,64,7,0.001,8,False,-1,-1,177.00511175394058,0.2026681900024414
