model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
fginjk,0.9814385150812065,0.9814795882727345,0.9814385150812065,0.9814379155242192,0.9814276485788114,0.06299777595507815,128,4,0.001,64,fold_0,False,-1,-1,184.8380274772644,0.2841920852661133
fginjk,0.9791183294663574,0.9792118684134866,0.9791183294663574,0.9791176549829022,0.9791343669250646,0.09286724790939391,128,4,0.001,64,fold_1,False,-1,-1,91.7052161693573,0.26606106758117676
fginjk,0.988399071925754,0.9884097136039617,0.988399071925754,0.9883990719257542,0.9884043927648579,0.06757991275644219,128,4,0.001,64,fold_2,False,-1,-1,148.23002219200134,0.3421659469604492
fginjk,0.988399071925754,0.9884097136039617,0.988399071925754,0.9883990719257542,0.9884043927648579,0.03117357683205964,128,4,0.001,64,fold_3,False,-1,-1,130.27313232421875,0.3420534133911133
fginjk,0.9837587006960556,0.9837689431279228,0.9837587006960556,0.9837585258299746,0.9837532299741603,0.07608243841958813,128,4,0.001,32,fold_0,False,-1,-1,146.21216893196106,0.2794778347015381
fginjk,0.9837587006960556,0.9837689431279228,0.9837587006960556,0.9837585258299746,0.9837532299741603,0.08218847896704956,128,4,0.001,32,fold_1,False,-1,-1,90.91053652763367,0.31935644149780273
fginjk,0.988399071925754,0.9884097136039617,0.988399071925754,0.9883990719257542,0.9884043927648579,0.042638175867999235,128,4,0.001,32,fold_2,False,-1,-1,171.50131034851074,0.4930119514465332
fginjk,0.9860788863109049,0.9861204591762955,0.9860788863109049,0.9860784366431643,0.9860680447889749,0.04716213940364026,128,4,0.001,32,fold_3,False,-1,-1,121.6519546508789,0.3661537170410156
fginjk,0.988399071925754,0.988662729381987,0.988399071925754,0.9883978228016242,0.9884259259259259,0.06087307950018272,128,4,0.001,16,fold_0,False,-1,-1,142.9024543762207,0.28134632110595703
fginjk,0.9675174013921114,0.9681652766095037,0.9675174013921114,0.9675076065187481,0.9675602928509905,0.1013181440320445,128,4,0.001,16,fold_1,False,-1,-1,97.16795706748962,0.33761024475097656
fginjk,0.988399071925754,0.9884941098944718,0.988399071925754,0.9883986972127233,0.9884151593453919,0.043336073055365305,128,4,0.001,16,fold_2,False,-1,-1,167.70665764808655,0.4336552619934082
fginjk,0.9860788863109049,0.9861204591762955,0.9860788863109049,0.9860784366431643,0.9860680447889749,0.029122392817674824,128,4,0.001,16,fold_3,False,-1,-1,155.4700424671173,0.3009190559387207
fginjk,0.9837587006960556,0.9838529891539791,0.9837587006960556,0.9837581760978127,0.9837747631352283,0.06526565176203605,128,4,0.001,8,fold_0,False,-1,-1,126.22915458679199,0.2935187816619873
fginjk,0.9698375870069605,0.970336048367554,0.9698375870069605,0.9698307660547693,0.9698751076658054,0.0930575698769701,128,4,0.001,8,fold_1,False,-1,-1,134.43108296394348,0.3287510871887207
fginjk,0.9791183294663574,0.9791284220089775,0.9791183294663574,0.9791181046385388,0.9791128337639965,0.05417855990577377,128,4,0.001,8,fold_2,False,-1,-1,244.11365461349487,0.517080545425415
fginjk,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.044237673187546275,128,4,0.001,8,fold_3,False,-1,-1,232.60518383979797,0.3867943286895752
fginjk,0.9767981438515081,0.9768387173691732,0.9767981438515081,0.9767973944052739,0.9767872523686477,0.07461228006435104,128,5,0.001,64,fold_0,False,-1,-1,211.09255623817444,0.32033872604370117
fginjk,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.10121420689203761,128,5,0.001,64,fold_1,False,-1,-1,145.90422248840332,0.39504575729370117
fginjk,0.988399071925754,0.9884097136039617,0.988399071925754,0.9883990719257542,0.9884043927648579,0.05722659229940525,128,5,0.001,64,fold_2,False,-1,-1,147.2214367389679,0.40330028533935547
fginjk,0.9860788863109049,0.9861204591762955,0.9860788863109049,0.9860784366431643,0.9860680447889749,0.04975456299299154,128,5,0.001,64,fold_3,False,-1,-1,137.53428649902344,0.388566255569458
fginjk,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.07241899035698161,128,5,0.001,32,fold_0,False,-1,-1,135.0765619277954,0.3524634838104248
fginjk,0.9791183294663574,0.9791288712227038,0.9791183294663574,0.9791183294663574,0.9791236003445305,0.09816354336411522,128,5,0.001,32,fold_1,False,-1,-1,111.62109684944153,0.39056825637817383
fginjk,0.9860788863109049,0.9860788863109049,0.9860788863109049,0.9860788863109049,0.9860788113695091,0.042182470127300566,128,5,0.001,32,fold_2,False,-1,-1,163.68322443962097,0.41266465187072754
fginjk,0.9860788863109049,0.9861204591762955,0.9860788863109049,0.9860784366431643,0.9860680447889749,0.03695183500578398,128,5,0.001,32,fold_3,False,-1,-1,140.97968792915344,0.39482855796813965
fginjk,0.988399071925754,0.9884097136039617,0.988399071925754,0.9883990719257542,0.9884043927648579,0.04424375765513966,128,5,0.001,16,fold_0,False,-1,-1,202.88838744163513,0.3336937427520752
fginjk,0.9698375870069605,0.970092247621085,0.9698375870069605,0.9698343392842231,0.9698643410852713,0.09703177742642759,128,5,0.001,16,fold_1,False,-1,-1,175.3001000881195,0.3891427516937256
fginjk,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.03325900448196656,128,5,0.001,16,fold_2,False,-1,-1,222.59674310684204,0.4162607192993164
fginjk,0.9860788863109049,0.9861210551523479,0.9860788863109049,0.9860787364281132,0.9860895779500432,0.05458639371975945,128,5,0.001,16,fold_3,False,-1,-1,189.45164322853088,0.3945634365081787
fginjk,0.988399071925754,0.9884094642468679,0.988399071925754,0.9883989470214105,0.9883936261843238,0.061232012848903505,128,5,0.001,8,fold_0,False,-1,-1,318.9378764629364,0.34161996841430664
