model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
ginjk,0.7842227378190255,0.7845391767726607,0.7842227378190255,0.784173941776427,0.7842592592592592,0.51479818919142,128,4,0.001,64,fold_0,False,-1,-1,155.8604211807251,0.13301539421081543
ginjk,0.7749419953596288,0.777050462777795,0.7749419953596288,0.7744806143692189,0.7748385012919896,0.5619742235562087,128,4,0.001,64,fold_1,False,-1,-1,61.1675660610199,0.15385127067565918
ginjk,0.7424593967517401,0.7435983969626662,0.7424593967517401,0.742126199561478,0.7423772609819121,0.5869664341003878,128,4,0.001,64,fold_2,False,-1,-1,57.21565532684326,0.19415569305419922
ginjk,0.7540603248259861,0.7583502375815558,0.7540603248259861,0.7529803820602424,0.7539082687338501,0.5662735747627206,128,4,0.001,64,fold_3,False,-1,-1,68.93493866920471,0.18176865577697754
ginjk,0.7981438515081206,0.8129423339563344,0.7981438515081206,0.7956615942434881,0.7978897502153317,0.4672302657656216,128,4,0.001,32,fold_0,False,-1,-1,50.18364381790161,0.13333606719970703
ginjk,0.7819025522041764,0.795459506041529,0.7819025522041764,0.7794454304809575,0.7821490094745909,0.5045198375000478,128,4,0.001,32,fold_1,False,-1,-1,83.81789088249207,0.1519467830657959
ginjk,0.7819025522041764,0.7866794049406306,0.7819025522041764,0.7809448671100263,0.781750645994832,0.38912998786381947,128,4,0.001,32,fold_2,False,-1,-1,72.44038558006287,0.15545988082885742
ginjk,0.8561484918793504,0.8631442262249801,0.8561484918793504,0.8554245638352368,0.8559862187769165,0.3363503992834113,128,4,0.001,32,fold_3,False,-1,-1,152.15822410583496,0.1516716480255127
ginjk,0.9466357308584686,0.9471035295793654,0.9466357308584686,0.946619637980975,0.9465977605512489,0.20588819056818491,128,4,0.001,16,fold_0,False,-1,-1,241.15618777275085,0.13315725326538086
ginjk,0.91415313225058,0.9141611263437447,0.91415313225058,0.9141522079584374,0.9141472868217054,0.3345711052486902,128,4,0.001,16,fold_1,False,-1,-1,140.84209561347961,0.14720773696899414
ginjk,0.9303944315545244,0.9303944315545244,0.9303944315545244,0.9303944315545244,0.9303940568475453,0.19110880411832903,128,4,0.001,16,fold_2,False,-1,-1,170.58503460884094,0.15065574645996094
ginjk,0.9651972157772621,0.9654459320762037,0.9651972157772621,0.9651915941133683,0.9651701119724376,0.11512139097305572,128,4,0.001,16,fold_3,False,-1,-1,202.8329529762268,0.1526041030883789
ginjk,0.8584686774941995,0.870555820936263,0.8584686774941995,0.8572697870499196,0.8582579672695951,0.3719060001268188,128,4,0.001,8,fold_0,False,-1,-1,155.1219301223755,0.1326906681060791
ginjk,0.9234338747099768,0.9275090221037761,0.9234338747099768,0.9232603874466269,0.9235465116279069,0.19321143751631203,128,4,0.001,8,fold_1,False,-1,-1,202.9521405696869,0.1487274169921875
ginjk,0.8979118329466357,0.897948305996699,0.8979118329466357,0.8979107338061636,0.8979220499569336,0.2647308869732505,128,4,0.001,8,fold_2,False,-1,-1,131.30709314346313,0.15355205535888672
ginjk,0.9071925754060325,0.9107116748392458,0.9071925754060325,0.9069822412902898,0.9070844099913867,0.24602056241090778,128,4,0.001,8,fold_3,False,-1,-1,138.5703890323639,0.14003276824951172
ginjk,0.8816705336426914,0.8945540776951996,0.8816705336426914,0.8806681826155065,0.8814599483204134,0.40790009546999034,128,5,0.001,64,fold_0,False,-1,-1,171.6473081111908,0.17023634910583496
ginjk,0.8955916473317865,0.8960016715100575,0.8955916473317865,0.8955601612671251,0.8955534022394488,0.38927359433019243,128,5,0.001,64,fold_1,False,-1,-1,242.59647631645203,0.18910717964172363
ginjk,0.8097447795823666,0.8098433449859099,0.8097447795823666,0.8097242929539891,0.8097222222222222,0.3879026791335812,128,5,0.001,64,fold_2,False,-1,-1,114.0807511806488,0.24079346656799316
ginjk,0.9048723897911833,0.9055706980830311,0.9048723897911833,0.9048262762567372,0.904823428079242,0.251325888589474,128,5,0.001,64,fold_3,False,-1,-1,189.88181042671204,0.19047260284423828
ginjk,0.91415313225058,0.9145841653534422,0.91415313225058,0.9141272437085252,0.9141149870801033,0.22416126181797197,128,5,0.001,32,fold_0,False,-1,-1,178.68525004386902,0.16179323196411133
ginjk,0.8468677494199536,0.8528674028446398,0.8468677494199536,0.8462420847703875,0.8470176571920758,0.398681223876515,128,5,0.001,32,fold_1,False,-1,-1,109.3904082775116,0.17902874946594238
ginjk,0.8120649651972158,0.8237096840639598,0.8120649651972158,0.8103061097271245,0.8118432385874246,0.4762586753495608,128,5,0.001,32,fold_2,False,-1,-1,76.42279696464539,0.19567394256591797
ginjk,0.9071925754060325,0.9077466017847337,0.9071925754060325,0.9071565880375989,0.9071490094745909,0.24792736907016374,128,5,0.001,32,fold_3,False,-1,-1,182.87874126434326,0.18209314346313477
ginjk,0.9164733178654292,0.9193841950151794,0.9164733178654292,0.916319239519744,0.9163759689922482,0.2526097548844643,128,5,0.001,16,fold_0,False,-1,-1,197.31380558013916,0.1701977252960205
ginjk,0.7958236658932715,0.7983505607871489,0.7958236658932715,0.7953609308386372,0.7957149009474591,0.4693174588984514,128,5,0.001,16,fold_1,False,-1,-1,66.88037633895874,0.21021795272827148
ginjk,0.9095127610208816,0.909938541892596,0.9095127610208816,0.9094854730981752,0.9094745908699398,0.22217461224775026,128,5,0.001,16,fold_2,False,-1,-1,105.37466835975647,0.17951512336730957
ginjk,0.9234338747099768,0.924166422634199,0.9234338747099768,0.9233967589383495,0.9233850129198966,0.17735542142612476,128,5,0.001,16,fold_3,False,-1,-1,169.88036584854126,0.1849532127380371
ginjk,0.9582366589327146,0.9582366589327146,0.9582366589327146,0.9582366589327146,0.9582364341085272,0.13720324931108757,128,5,0.001,8,fold_0,False,-1,-1,389.88118147850037,0.16651368141174316
ginjk,0.8654292343387471,0.8708622892058926,0.8654292343387471,0.8649567654635428,0.8655684754521964,0.3119874877332258,128,5,0.001,8,fold_1,False,-1,-1,110.11842131614685,0.21644115447998047
ginjk,0.8700696055684455,0.8721427064814535,0.8700696055684455,0.869901534171716,0.8701550387596899,0.31747355441759467,128,5,0.001,8,fold_2,False,-1,-1,92.31961846351624,0.2587015628814697
ginjk,0.9373549883990719,0.9381250810623857,0.9373549883990719,0.9373306991491902,0.9374031007751937,0.1594419037867035,128,5,0.001,8,fold_3,False,-1,-1,244.1361105442047,0.18623757362365723
ginjk,0.9396751740139211,0.9415301179967207,0.9396751740139211,0.9396068950089997,0.9395994832041343,0.27710002788673144,128,6,0.001,64,fold_0,False,-1,-1,267.6704959869385,0.19841480255126953
ginjk,0.9025522041763341,0.902686756948311,0.9025522041763341,0.9025417110252137,0.9025301464254953,0.3534944512797066,128,6,0.001,64,fold_1,False,-1,-1,202.45705676078796,0.22671294212341309
ginjk,0.9025522041763341,0.9030994253177245,0.9025522041763341,0.9025144174394788,0.9025086132644272,0.3096336243185809,128,6,0.001,64,fold_2,False,-1,-1,228.96860456466675,0.233978271484375
ginjk,0.888631090487239,0.8907667387260326,0.888631090487239,0.8884677647917837,0.8885443583118002,0.31835976775450386,128,6,0.001,64,fold_3,False,-1,-1,100.2188036441803,0.2256791591644287
ginjk,0.8584686774941995,0.8670312160654038,0.8584686774941995,0.8576084724951393,0.8582902670111973,0.364628459488986,128,6,0.001,32,fold_0,False,-1,-1,135.38515949249268,0.20512652397155762
ginjk,0.8283062645011601,0.83662898821961,0.8283062645011601,0.8271990792080812,0.8281223083548666,0.45677503175912487,128,6,0.001,32,fold_1,False,-1,-1,84.37931251525879,0.24234414100646973
ginjk,0.8747099767981439,0.8747449509557387,0.8747099767981439,0.874708627853019,0.8747200689061154,0.3285632367200475,128,6,0.001,32,fold_2,False,-1,-1,99.26047372817993,0.23790955543518066
ginjk,0.9559164733178654,0.9560034278058863,0.9559164733178654,0.9559136253148496,0.9559000861326443,0.18895216633645676,128,6,0.001,32,fold_3,False,-1,-1,269.42558765411377,0.23224902153015137
ginjk,0.8607888631090487,0.8612748371146436,0.8607888631090487,0.8607348820563983,0.8607450473729543,0.34384899923530365,128,6,0.001,16,fold_0,False,-1,-1,133.352032661438,0.21225380897521973
ginjk,0.9396751740139211,0.9397117501406832,0.9396751740139211,0.9396732254537123,0.9396640826873385,0.2323663317168395,128,6,0.001,16,fold_1,False,-1,-1,245.00516366958618,0.22915172576904297
ginjk,0.9443155452436195,0.9457044099158927,0.9443155452436195,0.9442759506086925,0.9443798449612403,0.16420964360790297,128,6,0.001,16,fold_2,False,-1,-1,177.56919407844543,0.24087905883789062
ginjk,0.8909512761020881,0.891155998362222,0.8909512761020881,0.8909336615552209,0.8909237726098191,0.30100702423507264,128,6,0.001,16,fold_3,False,-1,-1,128.3002860546112,0.23583149909973145
ginjk,0.9187935034802784,0.9192297888142883,0.9187935034802784,0.9187690143188751,0.9187553832902671,0.1870150144304864,128,6,0.001,8,fold_0,False,-1,-1,200.61034274101257,0.20956969261169434
