model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
rgin,0.9837587006960556,0.9838519518883815,0.9837587006960556,0.9837576514317866,0.9837424633936261,0.11354094901902216,128,4,0.001,64,fold_0,False,-1,-1,408.0626494884491,0.41170191764831543
rgin,0.9791183294663574,0.9791284220089775,0.9791183294663574,0.9791181046385388,0.9791128337639965,0.14923504116597072,128,4,0.001,64,fold_1,False,-1,-1,448.0153305530548,0.4957108497619629
rgin,0.9837587006960556,0.9837692924133328,0.9837587006960556,0.9837587006960556,0.9837639965546943,0.15856001300957667,128,4,0.001,64,fold_2,False,-1,-1,489.7176477909088,0.5429234504699707
rgin,0.9791183294663574,0.9793774885015359,0.9791183294663574,0.9791160810429237,0.9791451335055986,0.08447660533430405,128,4,0.001,64,fold_3,False,-1,-1,417.6456296443939,0.4830913543701172
rgin,0.9721577726218097,0.9725223174972839,0.9721577726218097,0.9721514759175047,0.972125322997416,0.11090394723598614,128,4,0.001,32,fold_0,False,-1,-1,395.0615780353546,0.40714430809020996
rgin,0.9791183294663574,0.9792118684134866,0.9791183294663574,0.9791176549829022,0.9791343669250646,0.13578490343964777,128,4,0.001,32,fold_1,False,-1,-1,264.4864890575409,0.49391770362854004
rgin,0.9721577726218097,0.9721978464656119,0.9721577726218097,0.9721568732863286,0.9721468561584841,0.16460314797553,128,4,0.001,32,fold_2,False,-1,-1,489.930659532547,0.5023331642150879
rgin,0.988399071925754,0.9884094642468679,0.988399071925754,0.9883989470214105,0.9883936261843238,0.04262840020061922,128,4,0.001,32,fold_3,False,-1,-1,421.37649846076965,0.5042943954467773
rgin,0.9698375870069605,0.9699276898471341,0.9698375870069605,0.969835638373318,0.9698212747631352,0.12663819832325396,128,4,0.001,16,fold_0,False,-1,-1,217.41906762123108,0.4287114143371582
rgin,0.9791183294663574,0.9791288712227038,0.9791183294663574,0.9791183294663574,0.9791236003445305,0.12324921131834146,128,4,0.001,16,fold_1,False,-1,-1,208.3208348751068,0.4983949661254883
rgin,0.974477958236659,0.9745691105275499,0.974477958236659,0.9744763093928076,0.9744616709732989,0.16100157159456244,128,4,0.001,16,fold_2,False,-1,-1,263.90315222740173,0.5100364685058594
rgin,0.9860788863109049,0.9864551326268264,0.9860788863109049,0.9860757379587525,0.9860465116279069,0.04550526736697437,128,4,0.001,16,fold_3,False,-1,-1,303.8044731616974,0.49810314178466797
rgin,0.9791183294663574,0.9792105312079658,0.9791183294663574,0.9791169804122972,0.9791020671834625,0.12479100004810918,128,4,0.001,8,fold_0,False,-1,-1,481.7372033596039,0.41086268424987793
