model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
fginjk,0.8509463722397476,0.8537313438475314,0.8509463722397476,0.8405836273430076,0.8513892221145638,0.3399561174824975,128,4,0.001,64,False,-1,-1,194.74357402324677,0.5471559762954712
fginjk,0.8535094637223974,0.8565351935428878,0.8535094637223974,0.8444618873015968,0.8542416543965419,0.34344070950047073,128,4,0.001,32,False,-1,-1,269.46726310253143,0.5224663019180298
fginjk,0.8513406940063091,0.8558047639475943,0.8513406940063091,0.8415824747880306,0.8515915496600578,0.35089023433602196,128,4,0.001,16,False,-1,-1,409.5480844974518,0.53355473279953
fginjk,0.8507492113564669,0.8527216554333477,0.8507492113564669,0.8413192756875613,0.8511614411597581,0.35524911774257756,128,4,0.001,8,False,-1,-1,638.1842857003212,0.5107364058494568
fginjk,0.8503548895899053,0.8516443063335105,0.8503548895899053,0.8409513593983019,0.8505968442030013,0.33828941169738397,128,5,0.001,64,False,-1,-1,246.35210806131363,0.6051041483879089
fginjk,0.8507492113564669,0.8558586560787593,0.8507492113564669,0.8402368600413772,0.8508937961571049,0.3386982733542423,128,5,0.001,32,False,-1,-1,348.9145959019661,0.6037782430648804
fginjk,0.8495662460567823,0.8497871089180468,0.8495662460567823,0.8408322523374289,0.8494069009298737,0.352707825836135,128,5,0.001,16,False,-1,-1,560.6399740576744,0.613154411315918
fginjk,0.850749211356467,0.853207438844132,0.850749211356467,0.8412204073648154,0.8508980394865909,0.3495719690780723,128,5,0.001,8,False,-1,-1,720.755296766758,0.6057223677635193
fginjk,0.850552050473186,0.8533867331216016,0.850552050473186,0.8405988242802572,0.8507216204854235,0.3423147591577156,128,6,0.001,64,False,-1,-1,297.7083598971367,0.733061671257019
fginjk,0.8509463722397477,0.861862776530298,0.8509463722397477,0.8376035544999644,0.8514103277694722,0.3405285608434715,128,6,0.001,32,False,-1,-1,455.0204653143883,0.7269322872161865
fginjk,0.8497634069400631,0.8546384597039365,0.8497634069400631,0.8384398875745778,0.8496703239477567,0.34774794890207444,128,6,0.001,16,False,-1,-1,543.144765496254,0.713256299495697
fginjk,0.8507492113564669,0.8542982975035573,0.8507492113564669,0.8408361005728908,0.8509294326377181,0.3531633073740201,128,6,0.001,8,False,-1,-1,1150.7246107459068,0.7132849097251892
fginjk,0.8511435331230284,0.8533774717213476,0.8511435331230284,0.8419079731856043,0.8512192268876888,0.33688250138227493,128,7,0.001,64,False,-1,-1,317.1736559867859,0.792133629322052
fginjk,0.850749211356467,0.854370633741397,0.850749211356467,0.8397762248471957,0.8509565069319037,0.3355696749188922,128,7,0.001,32,False,-1,-1,442.3873766064644,0.8055238127708435
fginjk,0.850749211356467,0.8527958939133153,0.850749211356467,0.8416641795634564,0.8509053426631711,0.3415819525084097,128,7,0.001,16,False,-1,-1,699.223311662674,0.8066144585609436
fginjk,0.8517350157728706,0.8604373436918907,0.8517350157728706,0.8398055214209786,0.8518208060272902,0.3515922288507317,128,7,0.001,8,False,-1,-1,1150.739118874073,0.7754871249198914
fginjk,0.849960567823344,0.8514691414799136,0.849960567823344,0.8399099999850617,0.8502053098729592,0.3416420507600255,64,4,0.001,64,False,-1,-1,149.7595317363739,0.4597669839859009
fginjk,0.8521293375394321,0.8540155635098221,0.8521293375394321,0.8428922997636938,0.8526312996916585,0.34594439488339124,64,4,0.001,32,False,-1,-1,214.34084182977676,0.4389718174934387
fginjk,0.8503548895899053,0.8525867462691433,0.8503548895899053,0.8401811011715298,0.8504505668958593,0.34285081977065807,64,4,0.001,16,False,-1,-1,319.60200798511505,0.4487816095352173
fginjk,0.84897476340694,0.8542190602500052,0.84897476340694,0.8374086546943554,0.8484781302848312,0.36335346538702773,64,4,0.001,8,False,-1,-1,510.6578588485718,0.4441151022911072
fginjk,0.8517350157728707,0.8556819915296021,0.8517350157728707,0.8422560724585715,0.8519913785466304,0.3362816921567503,64,5,0.001,64,False,-1,-1,189.30137848854065,0.5199546217918396
fginjk,0.8503548895899053,0.8529694110571122,0.8503548895899053,0.8401380279953313,0.8507569604386784,0.33502030654660536,64,5,0.001,32,False,-1,-1,242.2986205816269,0.5136394500732422
fginjk,0.8503548895899053,0.8528010728609196,0.8503548895899053,0.8395589856862884,0.8507059994373156,0.3444465752984823,64,5,0.001,16,False,-1,-1,315.77519208192825,0.5081537961959839
fginjk,0.8485804416403786,0.8508809745371404,0.8485804416403786,0.8373654155858611,0.8481874044201143,0.3584375766455563,64,5,0.001,8,False,-1,-1,674.96349132061,0.5128232836723328
fginjk,0.8519321766561514,0.855463972229314,0.8519321766561514,0.8428379738954959,0.8520188091333786,0.3424222042742964,64,6,0.001,64,False,-1,-1,227.8673591017723,0.5664296746253967
fginjk,0.8507492113564669,0.8522257244217718,0.8507492113564669,0.8419435038682704,0.8508865629255161,0.33539158822704185,64,6,0.001,32,False,-1,-1,284.97577595710754,0.5871894955635071
fginjk,0.8509463722397477,0.8548334501386317,0.8509463722397477,0.841307567041286,0.8513213987877786,0.3465807455641803,64,6,0.001,16,False,-1,-1,447.2257636189461,0.5928117036819458
