model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
ginjk,0.8351735015772871,0.8313180571817147,0.8351735015772871,0.822728621359555,0.833208221709008,0.4582580056758333,128,4,0.001,64,False,-1,-1,284.7160202264786,0.5593944191932678
ginjk,0.8448343848580442,0.8527833291768709,0.8448343848580442,0.8303381963236407,0.8442978678661446,0.3907804632389019,128,4,0.001,32,False,-1,-1,402.56608897447586,0.5342058539390564
ginjk,0.8487776025236593,0.8487270666304481,0.8487776025236593,0.838992030287239,0.8487014981375657,0.37514022219491305,128,4,0.001,16,False,-1,-1,381.1307581067085,0.5271056294441223
ginjk,0.8501577287066246,0.8512064347089561,0.8501577287066246,0.8413320953104163,0.8499770970981353,0.3712622571489788,128,4,0.001,8,False,-1,-1,953.1529716253281,0.5064627528190613
ginjk,0.8357649842271293,0.8338096709727816,0.8357649842271293,0.8226490298839347,0.8337940084735832,0.4216586714052251,128,5,0.001,64,False,-1,-1,310.3617618083954,0.590671956539154
ginjk,0.8456230283911672,0.8445130903335165,0.8456230283911672,0.8356115460970728,0.845211244045446,0.3959329406780775,128,5,0.001,32,False,-1,-1,322.31728798151016,0.6053524613380432
ginjk,0.8483832807570979,0.8478518608840142,0.8483832807570979,0.8393056675693911,0.8485039445840286,0.3740154724767908,128,5,0.001,16,False,-1,-1,512.0759248137474,0.6139004826545715
ginjk,0.8485804416403786,0.8503811320654868,0.8485804416403786,0.838705168875155,0.8483008420611635,0.37207549676440116,128,5,0.001,8,False,-1,-1,772.5751848220825,0.6002187728881836
ginjk,0.8422712933753944,0.8415391296297063,0.8422712933753944,0.831059589903077,0.8412813045716516,0.40159932326537195,128,6,0.001,64,False,-1,-1,293.13173991441727,0.6938991546630859
ginjk,0.8460173501577287,0.8536649439194457,0.8460173501577287,0.8332930369044895,0.8462128208590647,0.38146047690172297,128,6,0.001,32,False,-1,-1,420.1910693049431,0.6918715834617615
ginjk,0.848186119873817,0.8498358017731247,0.848186119873817,0.8378772331454564,0.8481606424155388,0.39061991830447496,128,6,0.001,16,False,-1,-1,514.5467293262482,0.6928291916847229
ginjk,0.8491719242902208,0.8497805196066405,0.8491719242902208,0.839191508071001,0.8492574209302322,0.3677885591842775,128,6,0.001,8,False,-1,-1,909.6206002235413,0.707910418510437
ginjk,0.8426656151419558,0.8399638280967813,0.8426656151419558,0.8317561505115102,0.8422862321772586,0.4102018044009946,128,7,0.001,64,False,-1,-1,373.90635937452316,0.81919926404953
ginjk,0.8468059936908517,0.8463525047503433,0.8468059936908517,0.8366509423422205,0.8467297376614558,0.3835402053519378,128,7,0.001,32,False,-1,-1,532.9158045053482,0.7911120057106018
ginjk,0.8495662460567823,0.849969955974832,0.8495662460567823,0.840336000362595,0.8497996634020205,0.37965135746385775,128,7,0.001,16,False,-1,-1,759.0608984231949,0.7861665487289429
