model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
rgin,0.8418769716088328,0.8415943910818344,0.8418769716088328,0.8317023568649601,0.8412333527592577,0.4145363084149285,128,4,0.001,64,False,-1,-1,415.26854395866394,0.6450221538543701
rgin,0.8434542586750788,0.8427770284053742,0.8434542586750788,0.8332529501930319,0.8428997896429445,0.40596837291864185,128,4,0.001,32,False,-1,-1,422.5725570321083,0.625538170337677
rgin,0.8479889589905363,0.8505950458512328,0.8479889589905363,0.8377618903855732,0.8477807432542283,0.3810640335177021,128,4,0.001,16,False,-1,-1,528.1131983995438,0.6344916224479675
rgin,0.8430599369085174,0.8431428261390232,0.8430599369085174,0.8311444164131031,0.8419417773941199,0.4057867864752041,128,5,0.001,64,False,-1,-1,426.30403941869736,0.7671465277671814
rgin,0.8477917981072556,0.8490653086477448,0.8477917981072556,0.838092729508747,0.8478664015687125,0.3774983697932226,128,5,0.001,32,False,-1,-1,495.00267082452774,0.7699191570281982
rgin,0.8493690851735015,0.8513766340238862,0.8493690851735015,0.839652643093246,0.8495161940838897,0.3654244373719963,128,5,0.001,16,False,-1,-1,725.8750796914101,0.7722060084342957
rgin,0.8432570977917981,0.8419413929323141,0.8432570977917981,0.8317645634307684,0.8427838152645266,0.38309000464220905,128,6,0.001,64,False,-1,-1,534.811101436615,0.8844544887542725
rgin,0.8468059936908516,0.8543003604785454,0.8468059936908516,0.8346213513845764,0.8470714478425324,0.39184617171246167,128,6,0.001,32,False,-1,-1,596.4017190933228,0.8991913795471191
rgin,0.8477917981072556,0.8542924194408752,0.8477917981072556,0.8347917716348126,0.8482199212884294,0.3729757912903554,128,6,0.001,16,False,-1,-1,826.3643310070038,0.8895161151885986
rgin,0.8468059936908517,0.8468228394285515,0.8468059936908517,0.8372151577292105,0.847271969252912,0.3842036664744469,128,7,0.001,64,False,-1,-1,634.3710304498672,1.018194854259491
rgin,0.847397476340694,0.8471946374615793,0.847397476340694,0.8380010229702087,0.8474888151894457,0.38329187672502985,128,7,0.001,32,False,-1,-1,652.8122927546501,1.0114490389823914
rgin,0.8491719242902209,0.8597921306577718,0.8491719242902209,0.8354477025239888,0.8492039363267103,0.36974599932787544,128,7,0.001,16,False,-1,-1,983.472771525383,1.0056594610214233
rgin,0.8349763406940063,0.8306540810184422,0.8349763406940063,0.8221046717676512,0.8334775999463622,0.4418902492109533,64,4,0.001,64,False,-1,-1,381.3187761902809,0.49320030212402344
