model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
fginjk,0.8596214511041009,0.8632364089953488,0.8596214511041009,0.8515629311739464,0.8599420658617137,0.35574458407866844,128,4,0.001,64,fold_0,False,-1,-1,227.8889057636261,0.5191025733947754
fginjk,0.8462145110410094,0.8463006229582013,0.8462145110410094,0.8358812348048396,0.8470207240192724,0.3260427156833444,128,4,0.001,64,fold_1,False,-1,-1,169.35713839530945,0.5173871517181396
fginjk,0.8383280757097792,0.8434180755456827,0.8383280757097792,0.8256532741824154,0.8381846461399207,0.36319807416257044,128,4,0.001,64,fold_2,False,-1,-1,156.41438674926758,0.5259809494018555
fginjk,0.8596214511041009,0.8619702678908927,0.8596214511041009,0.8492370692108293,0.860409452437348,0.31483909600540666,128,4,0.001,64,fold_3,False,-1,-1,225.31386518478394,0.6261532306671143
fginjk,0.8588328075709779,0.862273538699186,0.8588328075709779,0.8505612385360476,0.8590967573240975,0.3617498419638312,128,4,0.001,32,fold_0,False,-1,-1,233.88019514083862,0.5214319229125977
fginjk,0.8485804416403786,0.8502573974159288,0.8485804416403786,0.8390538092966987,0.8497947647131399,0.3344301738385522,128,4,0.001,32,fold_1,False,-1,-1,261.6293647289276,0.5194861888885498
fginjk,0.8446372239747634,0.8475081074441306,0.8446372239747634,0.8357448300143093,0.8452353810659357,0.3680292736468631,128,4,0.001,32,fold_2,False,-1,-1,301.8878791332245,0.5269980430603027
fginjk,0.86198738170347,0.8661017306123056,0.86198738170347,0.8524876713593319,0.8628397144829947,0.30955354855263645,128,4,0.001,32,fold_3,False,-1,-1,280.471613407135,0.521949052810669
fginjk,0.8588328075709779,0.8626883556234518,0.8588328075709779,0.8501120371843653,0.8592504497854823,0.3579000402888289,128,4,0.001,16,fold_0,False,-1,-1,410.3237376213074,0.5188014507293701
fginjk,0.8454258675078864,0.8461700019114146,0.8454258675078864,0.8367492978870062,0.8455606456361171,0.34655252775935347,128,4,0.001,16,fold_1,False,-1,-1,364.55785274505615,0.5534346103668213
fginjk,0.8406940063091483,0.8421462522898391,0.8406940063091483,0.8316554041856156,0.8408984185512286,0.39133658398777155,128,4,0.001,16,fold_2,False,-1,-1,386.3921082019806,0.5402932167053223
fginjk,0.860410094637224,0.872214445965672,0.860410094637224,0.8478131598951354,0.8606566846674032,0.3077717853081339,128,4,0.001,16,fold_3,False,-1,-1,476.918639421463,0.5216896533966064
fginjk,0.8588328075709779,0.8616873706077691,0.8588328075709779,0.8506257265299849,0.8591811799437313,0.35113431518010163,128,4,0.001,8,fold_0,False,-1,-1,754.1521148681641,0.5166225433349609
fginjk,0.8462145110410094,0.8467710392470977,0.8462145110410094,0.8356198816136666,0.8470207240192724,0.3370864659265765,128,4,0.001,8,fold_1,False,-1,-1,554.0599074363708,0.5032799243927002
fginjk,0.8351735015772871,0.8358856977611047,0.8351735015772871,0.825056420417185,0.8348432602750518,0.4276585509348367,128,4,0.001,8,fold_2,False,-1,-1,408.47768115997314,0.5149765014648438
fginjk,0.862776025236593,0.8665425141174194,0.862776025236593,0.8539750741894085,0.863600600400977,0.30511713892879544,128,4,0.001,8,fold_3,False,-1,-1,836.0474393367767,0.5080666542053223
