model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
ginjk,0.8470031545741324,0.8449249153836368,0.8470031545741324,0.8381760405274704,0.8449847753637632,0.4714685229096879,128,4,0.001,64,fold_0,False,-1,-1,289.79540157318115,0.5724101066589355
ginjk,0.832018927444795,0.8264580610565889,0.832018927444795,0.8216186660332953,0.830641778253513,0.42200743982844546,128,4,0.001,64,fold_1,False,-1,-1,322.5072109699249,0.569319486618042
ginjk,0.8225552050473186,0.8194635771978351,0.8225552050473186,0.8062209310479607,0.8211443988732062,0.4944164657066297,128,4,0.001,64,fold_2,False,-1,-1,268.57719826698303,0.582317590713501
ginjk,0.8391167192429022,0.8344256750887975,0.8391167192429022,0.8248988478294936,0.8360619343455493,0.44513959425857014,128,4,0.001,64,fold_3,False,-1,-1,257.9842700958252,0.5135304927825928
ginjk,0.8517350157728707,0.8509549088268654,0.8517350157728707,0.8427215248683646,0.8510011151547824,0.44048037222507247,128,4,0.001,32,fold_0,False,-1,-1,269.52400612831116,0.5156731605529785
ginjk,0.8462145110410094,0.8478863165724547,0.8462145110410094,0.837273902108884,0.8465596466351181,0.32021799519047,128,4,0.001,32,fold_1,False,-1,-1,696.8543503284454,0.51521897315979
ginjk,0.8288643533123028,0.8610330216111169,0.8288643533123028,0.8006621554867872,0.8287198317465806,0.43147569114477474,128,4,0.001,32,fold_2,False,-1,-1,368.97920536994934,0.5916633605957031
ginjk,0.8525236593059937,0.8512590696970466,0.8525236593059937,0.8406952028305268,0.8509108779280969,0.37094779439529035,128,4,0.001,32,fold_3,False,-1,-1,274.9067940711975,0.5142679214477539
ginjk,0.8596214511041009,0.8608617870461244,0.8596214511041009,0.8511511502024927,0.8594501417511548,0.42089888942354486,128,4,0.001,16,fold_0,False,-1,-1,290.1719036102295,0.5436270236968994
ginjk,0.8446372239747634,0.8430426162399132,0.8446372239747634,0.8360444932297618,0.8450591157467217,0.34369897273624733,128,4,0.001,16,fold_1,False,-1,-1,383.22373723983765,0.5334887504577637
ginjk,0.833596214511041,0.8336937599571912,0.833596214511041,0.8208666296221442,0.8330379780734259,0.4056183229485521,128,4,0.001,16,fold_2,False,-1,-1,461.09958028793335,0.52022385597229
ginjk,0.8572555205047319,0.8573101032785633,0.8572555205047319,0.8479058480945573,0.8572587569789601,0.33034470367130797,128,4,0.001,16,fold_3,False,-1,-1,390.0278112888336,0.5110828876495361
ginjk,0.8580441640378549,0.8586586650417201,0.8580441640378549,0.8517051524665459,0.8579225208063209,0.39686236349566123,128,4,0.001,8,fold_0,False,-1,-1,1366.9547715187073,0.5079848766326904
ginjk,0.8446372239747634,0.8456808155339174,0.8446372239747634,0.8357894620729188,0.8444772220174822,0.35663008595866735,128,4,0.001,8,fold_1,False,-1,-1,766.677000284195,0.4900329113006592
ginjk,0.8391167192429022,0.8409155099242933,0.8391167192429022,0.8281681816678289,0.838405579053161,0.40466346443639567,128,4,0.001,8,fold_2,False,-1,-1,907.0213911533356,0.5033955574035645
ginjk,0.8588328075709779,0.8595707483358932,0.8588328075709779,0.8496655850343715,0.8591030665155774,0.32689311470519106,128,4,0.001,8,fold_3,False,-1,-1,771.9587235450745,0.524437665939331
ginjk,0.8399053627760252,0.8394515727787577,0.8399053627760252,0.8277354399993467,0.8369639500352457,0.4664625845120908,128,5,0.001,64,fold_0,False,-1,-1,288.8327715396881,0.5910141468048096
ginjk,0.833596214511041,0.8274617982741367,0.833596214511041,0.8196400143122549,0.8328062007310761,0.39098948400103334,128,5,0.001,64,fold_1,False,-1,-1,297.27009177207947,0.5916376113891602
ginjk,0.8233438485804416,0.8255383150772276,0.8233438485804416,0.8105986764803866,0.8211929599185169,0.44682006232369964,128,5,0.001,64,fold_2,False,-1,-1,342.00000619888306,0.5903565883636475
ginjk,0.8462145110410094,0.8427869977610043,0.8462145110410094,0.8326219887437508,0.844212923209494,0.3823625547840768,128,5,0.001,64,fold_3,False,-1,-1,313.3441777229309,0.589679479598999
ginjk,0.8533123028391167,0.8537558947559035,0.8533123028391167,0.8457791235527551,0.8525236777303697,0.45598816787030794,128,5,0.001,32,fold_0,False,-1,-1,260.97736525535583,0.6261403560638428
ginjk,0.8383280757097792,0.8334079620630189,0.8383280757097792,0.8264926788681497,0.838164195931975,0.3611766995879754,128,5,0.001,32,fold_1,False,-1,-1,368.23406887054443,0.5871574878692627
ginjk,0.8343848580441641,0.8348550608035983,0.8343848580441641,0.822838920410347,0.8338973465394801,0.4089690367882184,128,5,0.001,32,fold_2,False,-1,-1,315.97305631637573,0.593071460723877
ginjk,0.8564668769716088,0.8560334437115454,0.8564668769716088,0.8473354615570394,0.8562597559799592,0.35759785846580844,128,5,0.001,32,fold_3,False,-1,-1,344.08466148376465,0.6150405406951904
ginjk,0.8556782334384858,0.8572137366800263,0.8556782334384858,0.8470469548124578,0.8555066207989348,0.4166084119950183,128,5,0.001,16,fold_0,False,-1,-1,380.6037509441376,0.615729570388794
ginjk,0.8446372239747634,0.8444482115588305,0.8446372239747634,0.8339667561322766,0.8450859036933362,0.3398443016720119,128,5,0.001,16,fold_1,False,-1,-1,587.6393349170685,0.6122596263885498
ginjk,0.8391167192429022,0.8383159088958899,0.8391167192429022,0.831918803676931,0.8393487659192042,0.39884497521427525,128,5,0.001,16,fold_2,False,-1,-1,504.3449034690857,0.6191272735595703
ginjk,0.8541009463722398,0.8514295864013104,0.8541009463722398,0.8442901556558986,0.8540744879246389,0.3407642010258575,128,5,0.001,16,fold_3,False,-1,-1,575.7157099246979,0.6084854602813721
ginjk,0.8548895899053628,0.8611237722367836,0.8548895899053628,0.8431801221577052,0.853971934424816,0.42898652690818256,128,5,0.001,8,fold_0,False,-1,-1,614.2337508201599,0.6250760555267334
ginjk,0.8454258675078864,0.8460686656254714,0.8454258675078864,0.837381402442514,0.8452168669878964,0.34308037025507315,128,5,0.001,8,fold_1,False,-1,-1,829.4589347839355,0.5808267593383789
ginjk,0.833596214511041,0.8325608885428044,0.833596214511041,0.8218679053571496,0.8334802392697184,0.4039186486968483,128,5,0.001,8,fold_2,False,-1,-1,788.1852698326111,0.6009950637817383
ginjk,0.860410094637224,0.8617712018568879,0.860410094637224,0.8523912455432513,0.8605343275622231,0.3123164411975006,128,5,0.001,8,fold_3,False,-1,-1,858.4227838516235,0.5939772129058838
ginjk,0.8501577287066246,0.8537167067646216,0.8501577287066246,0.8384904085000661,0.8481305280427496,0.44251623176249794,128,6,0.001,64,fold_0,False,-1,-1,262.1126961708069,0.6831560134887695
ginjk,0.8367507886435331,0.832118002456537,0.8367507886435331,0.8254505575332604,0.8361802538624109,0.3672073436460284,128,6,0.001,64,fold_1,False,-1,-1,327.33221101760864,0.6958224773406982
ginjk,0.831230283911672,0.829914938479629,0.831230283911672,0.8207296035941879,0.8315660556717053,0.43152307251274397,128,6,0.001,64,fold_2,False,-1,-1,259.3468313217163,0.6932291984558105
ginjk,0.8509463722397477,0.8504068708180376,0.8509463722397477,0.8395677899847935,0.8492483807097403,0.36515064514021767,128,6,0.001,64,fold_3,False,-1,-1,323.73522114753723,0.7033889293670654
ginjk,0.8485804416403786,0.8803498985806061,0.8485804416403786,0.8259358529078913,0.848208467122887,0.42246392397474414,128,6,0.001,32,fold_0,False,-1,-1,449.8796112537384,0.6898934841156006
ginjk,0.8438485804416404,0.8441839804507509,0.8438485804416404,0.832969744309674,0.844346258722922,0.3409194307936479,128,6,0.001,32,fold_1,False,-1,-1,409.9066174030304,0.6826224327087402
ginjk,0.833596214511041,0.8320114597109974,0.833596214511041,0.8248888133507112,0.834192492073873,0.4358522060447687,128,6,0.001,32,fold_2,False,-1,-1,429.5662417411804,0.695244312286377
ginjk,0.8580441640378549,0.8581144369354282,0.8580441640378549,0.8493777370496819,0.8581040655165764,0.3266063467937313,128,6,0.001,32,fold_3,False,-1,-1,391.4118068218231,0.6997261047363281
ginjk,0.8556782334384858,0.8569736029774515,0.8556782334384858,0.8476646443716331,0.8556122843661368,0.47369469321488583,128,6,0.001,16,fold_0,False,-1,-1,415.03915214538574,0.6922521591186523
ginjk,0.8462145110410094,0.8476735473837024,0.8462145110410094,0.8375323723772835,0.846644069254752,0.3450734006587639,128,6,0.001,16,fold_1,False,-1,-1,557.5303997993469,0.6818418502807617
ginjk,0.833596214511041,0.8331272597026954,0.833596214511041,0.8215685531549201,0.8333124868798957,0.4185190159909733,128,6,0.001,16,fold_2,False,-1,-1,510.41520595550537,0.6977889537811279
ginjk,0.8572555205047319,0.8615687970286496,0.8572555205047319,0.8447433626779889,0.8570737291613708,0.3251925633532768,128,6,0.001,16,fold_3,False,-1,-1,575.2021594047546,0.6994338035583496
ginjk,0.8580441640378549,0.8606639818641981,0.8580441640378549,0.8495171593747771,0.8582514487864812,0.40975427782685975,128,6,0.001,8,fold_0,False,-1,-1,932.463948726654,0.6938459873199463
ginjk,0.8462145110410094,0.8463016561158156,0.8462145110410094,0.8371018925911098,0.8467977617161367,0.3401345476179093,128,6,0.001,8,fold_1,False,-1,-1,877.7418715953827,0.6920738220214844
ginjk,0.832807570977918,0.8313836692028513,0.832807570977918,0.8188619133066727,0.8322914541937041,0.41398510844549546,128,6,0.001,8,fold_2,False,-1,-1,727.5934960842133,0.7098443508148193
ginjk,0.8596214511041009,0.8607727712436967,0.8596214511041009,0.8512850670114441,0.8596890190246069,0.3072803028468454,128,6,0.001,8,fold_3,False,-1,-1,1100.683084487915,0.735877513885498
ginjk,0.8541009463722398,0.8544970266329144,0.8541009463722398,0.8440216214317012,0.8538712136370153,0.44054308044797613,128,7,0.001,64,fold_0,False,-1,-1,350.23959374427795,0.8444528579711914
ginjk,0.8343848580441641,0.827652765767301,0.8343848580441641,0.8211666027479623,0.8337135980913131,0.3858098791976832,128,7,0.001,64,fold_1,False,-1,-1,372.05174493789673,0.7903766632080078
