model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
rgin,0.8414826498422713,0.8420598488372738,0.8414826498422713,0.8273881013044578,0.8386256565139796,0.5047232237900093,128,4,0.001,64,fold_0,False,-1,-1,320.29590010643005,0.6392421722412109
rgin,0.8462145110410094,0.8475653285876453,0.8462145110410094,0.8377334879515802,0.8466653102023203,0.3322118535778876,128,4,0.001,64,fold_1,False,-1,-1,638.0288877487183,0.6333396434783936
rgin,0.8272870662460567,0.8248434341373779,0.8272870662460567,0.8185853204343408,0.827622095828346,0.4424688201221382,128,4,0.001,64,fold_2,False,-1,-1,367.89790558815,0.6568992137908936
rgin,0.8525236593059937,0.8519089527650405,0.8525236593059937,0.8431025177694614,0.8520203484923846,0.3787413361696791,128,4,0.001,64,fold_3,False,-1,-1,334.8514823913574,0.6506075859069824
rgin,0.8454258675078864,0.8435957783374671,0.8454258675078864,0.8362119253446867,0.8439121436333987,0.48670334075151556,128,4,0.001,32,fold_0,False,-1,-1,347.1322751045227,0.6298871040344238
rgin,0.8422712933753943,0.8422096477182919,0.8422712933753943,0.8336248603444446,0.8421666834674755,0.34632067584464976,128,4,0.001,32,fold_1,False,-1,-1,469.4714939594269,0.6144111156463623
rgin,0.8343848580441641,0.8337956162973637,0.8343848580441641,0.8220972649170644,0.8344579993211513,0.4222492255999087,128,4,0.001,32,fold_2,False,-1,-1,410.6376371383667,0.6214747428894043
rgin,0.8517350157728707,0.8515070712683743,0.8517350157728707,0.8410777501659323,0.8510623321497529,0.36860024947849357,128,4,0.001,32,fold_3,False,-1,-1,463.04882192611694,0.6363797187805176
rgin,0.8533123028391167,0.8580030008746637,0.8533123028391167,0.8414627286004344,0.8519587796489309,0.44164213594578045,128,4,0.001,16,fold_0,False,-1,-1,414.8277516365051,0.6324775218963623
rgin,0.8438485804416404,0.8468303131763488,0.8438485804416404,0.8362351415560808,0.8438432406142701,0.3543224648722339,128,4,0.001,16,fold_1,False,-1,-1,586.1507139205933,0.6392910480499268
rgin,0.8351735015772871,0.8370169402139714,0.8351735015772871,0.8221677333901197,0.8353725777005183,0.40440979346115885,128,4,0.001,16,fold_2,False,-1,-1,480.30825114250183,0.6269376277923584
rgin,0.8596214511041009,0.8605299291399473,0.8596214511041009,0.8511819579956583,0.8599483750531937,0.3238817397916355,128,4,0.001,16,fold_3,False,-1,-1,631.1660768985748,0.6392602920532227
rgin,0.8525236593059937,0.8570266979964511,0.8525236593059937,0.8393133962688618,0.8503985846976202,0.431011141662718,128,5,0.001,64,fold_0,False,-1,-1,381.2976508140564,0.7590076923370361
rgin,0.8383280757097792,0.8391269818904369,0.8383280757097792,0.8237725338558624,0.8372367030144539,0.37166739516077735,128,5,0.001,64,fold_1,False,-1,-1,467.57187366485596,0.736536979675293
rgin,0.832807570977918,0.8316106406066515,0.832807570977918,0.8237547389160942,0.8328212904599528,0.4387233949234057,128,5,0.001,64,fold_2,False,-1,-1,435.09023094177246,0.8093552589416504
