model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,fold,flag,step_size,m,train_time,test_time
rgin,0.914572864321608,0.9092696429379845,0.914572864321608,0.9022094862185828,0.6945970695970696,0.6135449667072775,128,4,0.001,64,fold_0,False,-1,-1,130.70314145088196,0.15818405151367188
rgin,0.9646464646464646,0.9573845419367807,0.9646464646464646,0.9577534566429728,0.8497023809523809,0.5801875931445999,128,4,0.001,64,fold_0,False,-1,-1,124.22032189369202,0.1287400722503662
rgin,0.9595959595959596,0.9633960731344452,0.9595959595959596,0.9588509546823581,0.9007936507936508,0.22015847642012318,128,4,0.001,64,fold_1,False,-1,-1,137.81216597557068,0.13521695137023926
rgin,0.9747474747474747,0.9820122041529666,0.9747474747474747,0.9750796857463524,0.9036044973544973,0.20487532982922563,128,4,0.001,64,fold_2,False,-1,-1,148.5804886817932,0.1205601692199707
rgin,0.9494949494949495,0.9377533577533577,0.9494949494949495,0.9361100824627372,0.7799272486772487,0.4626763481082338,128,4,0.001,64,fold_3,False,-1,-1,98.36826968193054,0.11933660507202148
rgin,0.9595959595959596,0.9510483310072915,0.9595959595959596,0.9526601229008446,0.8095238095238096,0.5526519757930679,128,4,0.001,32,fold_0,False,-1,-1,64.70400404930115,0.11538815498352051
rgin,0.9343434343434344,0.9421455779868912,0.9343434343434344,0.928811590434102,0.8442460317460317,0.34267993527229385,128,4,0.001,32,fold_1,False,-1,-1,78.83821201324463,0.12147998809814453
rgin,0.9141414141414141,0.9180485573928195,0.9141414141414141,0.909489558161285,0.8247204184704184,0.3132217511384174,128,4,0.001,32,fold_2,False,-1,-1,78.16577053070068,0.11897706985473633
rgin,0.9646464646464646,0.9500994796449342,0.9646464646464646,0.9544200751897176,0.8020833333333334,0.480156222076127,128,4,0.001,32,fold_3,False,-1,-1,82.03703927993774,0.13096022605895996
rgin,0.898989898989899,0.9050902585786306,0.898989898989899,0.8954619579313206,0.7605369167869168,0.6515442855430372,128,4,0.001,16,fold_0,False,-1,-1,65.8529806137085,0.12272810935974121
rgin,0.9393939393939394,0.9327126362010083,0.9393939393939394,0.9321810735703925,0.7653769841269842,0.28635254050746106,128,4,0.001,16,fold_1,False,-1,-1,94.18170309066772,0.12781214714050293
rgin,0.9444444444444444,0.9548611111111112,0.9444444444444444,0.9365596313261261,0.8725198412698413,0.22259994227476795,128,4,0.001,16,fold_2,False,-1,-1,122.52892899513245,0.12652897834777832
rgin,0.9696969696969697,0.9561724207246595,0.9696969696969697,0.9617000551783161,0.8095238095238096,0.41804824164607607,128,4,0.001,16,fold_3,False,-1,-1,90.30706429481506,0.12603998184204102
rgin,0.9242424242424242,0.9163681963271567,0.9242424242424242,0.9025553833087372,0.7038690476190476,0.5724022605202415,128,4,0.001,8,fold_0,False,-1,-1,143.82067799568176,0.12699055671691895
rgin,0.9292929292929293,0.9308939687573408,0.9292929292929293,0.9252123564768309,0.8237433862433864,0.3287887717738296,128,4,0.001,8,fold_1,False,-1,-1,119.1685631275177,0.12808704376220703
rgin,0.9545454545454546,0.9683291245791246,0.9545454545454546,0.9555263925342666,0.8963293650793651,0.1766606629496873,128,4,0.001,8,fold_2,False,-1,-1,172.81181406974792,0.1383669376373291
rgin,0.9595959595959596,0.9545791066313455,0.9595959595959596,0.9493527348072802,0.8229166666666666,0.4908571294461838,128,4,0.001,8,fold_3,False,-1,-1,99.20421409606934,0.1243739128112793
rgin,0.9646464646464646,0.9469341049679316,0.9646464646464646,0.9548370873714358,0.7901785714285715,0.5068028503746698,128,4,0.001,4,fold_0,False,-1,-1,179.47344589233398,0.12450933456420898
rgin,0.9494949494949495,0.9548898071625344,0.9494949494949495,0.9477285960539549,0.8845899470899471,0.4177801091261584,128,4,0.001,4,fold_1,False,-1,-1,380.2513129711151,0.12310934066772461
rgin,0.9646464646464646,0.9671620046620046,0.9646464646464646,0.9638731060606062,0.8797949735449736,0.16107680139630431,128,4,0.001,4,fold_2,False,-1,-1,255.29152584075928,0.11757683753967285
rgin,0.9797979797979798,0.9757295173961841,0.9797979797979798,0.9773368149327228,0.9034391534391535,0.4084690019130857,128,4,0.001,4,fold_3,False,-1,-1,265.64611196517944,0.12631869316101074
rgin,0.898989898989899,0.8917917725528718,0.898989898989899,0.8869956830357715,0.7068452380952381,0.5767828650546797,128,4,0.0001,64,fold_0,False,-1,-1,150.78784251213074,0.12867021560668945
rgin,0.9040404040404041,0.9036648321532043,0.9040404040404041,0.8946994384450788,0.7868716931216931,0.3994097589242338,128,4,0.0001,64,fold_1,False,-1,-1,185.82060146331787,0.1252124309539795
rgin,0.8686868686868687,0.8709716209716211,0.8686868686868687,0.8692307692307693,0.7608976671476672,0.39501894122422343,128,4,0.0001,64,fold_2,False,-1,-1,144.83376669883728,0.11815214157104492
rgin,0.9141414141414141,0.8647965158834724,0.9141414141414141,0.8871055478744915,0.7263558201058201,0.5413182139998735,128,4,0.0001,64,fold_3,False,-1,-1,98.70575451850891,0.12566256523132324
rgin,0.8434343434343434,0.818103334827001,0.8434343434343434,0.8286912966024305,0.6562049062049063,0.6420352982752251,128,4,0.0001,32,fold_0,False,-1,-1,83.17921781539917,0.12106704711914062
rgin,0.9343434343434344,0.9499084033967755,0.9343434343434344,0.9318385075180975,0.8556096681096682,0.2885959106262284,128,4,0.0001,32,fold_1,False,-1,-1,189.8442120552063,0.12577104568481445
rgin,0.9090909090909091,0.9188582251082251,0.9090909090909091,0.8972710417154862,0.7986111111111112,0.30143729650010964,128,4,0.0001,32,fold_2,False,-1,-1,147.36566472053528,0.1172628402709961
rgin,0.9292929292929293,0.9067916617506221,0.9292929292929293,0.9156968124592733,0.7972132034632035,0.4955120628530329,128,4,0.0001,32,fold_3,False,-1,-1,108.15739059448242,0.12395501136779785
rgin,0.9141414141414141,0.9044524704408425,0.9141414141414141,0.8994303643144997,0.7108134920634921,0.6462447294081101,128,4,0.0001,16,fold_0,False,-1,-1,129.72900414466858,0.12382054328918457
rgin,0.9494949494949495,0.9481814266697988,0.9494949494949495,0.9449267310229876,0.8442460317460317,0.2699665367001235,128,4,0.0001,16,fold_1,False,-1,-1,233.5050070285797,0.12382936477661133
rgin,0.9343434343434344,0.943045843045843,0.9343434343434344,0.9309755025747672,0.8300114237614237,0.2224597419151152,128,4,0.0001,16,fold_2,False,-1,-1,246.83673429489136,0.12334942817687988
rgin,0.8838383838383839,0.8525566268748087,0.8838383838383839,0.8638032716772874,0.7184193121693122,0.6296670388693761,128,4,0.0001,16,fold_3,False,-1,-1,84.04930281639099,0.1257174015045166
rgin,0.9595959595959596,0.9562898743304852,0.9595959595959596,0.9521097544115447,0.8377976190476191,0.5626916048502681,128,4,0.0001,8,fold_0,False,-1,-1,281.32637882232666,0.12317490577697754
rgin,0.9343434343434344,0.9560675798684519,0.9343434343434344,0.9370607006086396,0.8533399470899471,0.32532621995367184,128,4,0.0001,8,fold_1,False,-1,-1,231.50859832763672,0.1228797435760498
