model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
fginjk,0.8756906077348067,0.8972021562828749,0.8756906077348067,0.870902896726116,0.8798663324979115,0.2933080360828513,32,2,0.001,8,True,0.008,3,169.99667119979858
fginjk,0.8591160220994475,0.8949192432197477,0.8591160220994475,0.8375382941478736,0.8689237217337128,0.32170983111660784,32,2,0.001,8,True,0.005,3,169.71702361106873
fginjk,0.861878453038674,0.8066079561003539,0.861878453038674,0.8270191870148635,0.8129504552341305,0.3262173533439636,32,2,0.001,8,True,0.001,3,168.31049799919128
fginjk,0.8591160220994475,0.8141523467626175,0.8591160220994475,0.8252237348204892,0.8076858813700919,0.30179847023599055,32,2,0.001,8,True,0.008,5,264.40339493751526
fginjk,0.8314917127071824,0.8323576867359119,0.8314917127071824,0.807268025764722,0.8378460274981239,0.36052255077256684,32,2,0.0001,8,True,0.008,3,170.06447076797485
fginjk,0.856353591160221,0.8008705169571043,0.856353591160221,0.820912381277607,0.8066012488849241,0.35094979948760396,32,2,0.0001,8,True,0.005,3,169.33295392990112
fginjk,0.8591160220994475,0.8774684285708418,0.8591160220994475,0.8505630495202134,0.8629086841397279,0.34836492708045474,32,2,0.0001,8,True,0.001,3,170.363130569458
fginjk,0.8812154696132597,0.9167759450631173,0.8812154696132597,0.8730585859057424,0.8875522138680033,0.30456910708414914,32,2,0.0001,8,True,0.008,5,263.1570601463318
fginjk,0.8646408839779005,0.8125436753920927,0.8646408839779005,0.8296673687777993,0.8147883833878481,0.3407541716790331,32,2,0.0001,8,True,0.005,5,264.4425883293152
fginjk,0.8812154696132597,0.8282363113686385,0.8812154696132597,0.8468733568205645,0.8330827067669172,0.26674710160625575,32,2,0.0001,8,True,0.001,5,262.5597114562988
fginjk,0.8867403314917127,0.9141088166114966,0.8867403314917127,0.8817995094731279,0.8933180408648741,0.2655063518297277,32,2,0.0001,8,True,0.008,7,358.0952739715576
fginjk,0.8729281767955801,0.8178017835579255,0.8729281767955801,0.8376271913669466,0.8243121929116576,0.3172073239429715,32,2,0.0001,8,True,0.005,7,358.1038453578949
fginjk,0.861878453038674,0.810906481649693,0.861878453038674,0.8289526447490606,0.8129504552341305,0.37684973251095133,32,2,0.0001,8,True,0.001,7,358.46002650260925
fginjk,0.8591160220994475,0.8118168663748774,0.8591160220994475,0.8251759711904973,0.8084391770386418,0.3640371859073639,32,2,0.0001,8,False,-1,-1,74.4798812866211
fginjk,0.861878453038674,0.8098275573413695,0.861878453038674,0.830030255320205,0.8142871302550161,0.3787552767037028,32,3,0.0001,8,True,0.008,3,222.02797293663025
fginjk,0.8701657458563536,0.8169822578528692,0.8701657458563536,0.8348359476950873,0.8203842940685045,0.2884915979856944,32,3,0.0001,8,True,0.005,3,219.99859142303467
fginjk,0.8784530386740331,0.8254209418574059,0.8784530386740331,0.8441844081839937,0.8306613992608641,0.320071519079788,32,3,0.0001,8,True,0.001,3,218.0114390850067
fginjk,0.8784530386740331,0.9034911289076972,0.8784530386740331,0.8731718158680238,0.8837942313410645,0.291761945542051,32,3,0.0001,8,True,0.008,5,342.5164968967438
fginjk,0.8784530386740331,0.8263907314424536,0.8784530386740331,0.8449390457750074,0.8306613992608641,0.32579042772808786,32,3,0.0001,8,True,0.005,5,340.28226828575134
fginjk,0.8756906077348067,0.8224921700497768,0.8756906077348067,0.8412208762232796,0.8274867960862607,0.35293475359431287,32,3,0.0001,8,True,0.001,5,339.5570411682129
fginjk,0.8646408839779005,0.8196630331989448,0.8646408839779005,0.8321914560210347,0.8147883833878481,0.331315611391354,32,3,0.0001,8,True,0.008,7,462.20149278640747
fginjk,0.861878453038674,0.8045480247336757,0.861878453038674,0.8277356911478386,0.8149554677654588,0.3032215619202477,32,3,0.0001,8,True,0.005,7,462.8568170070648
fginjk,0.8784530386740331,0.9009089305948221,0.8784530386740331,0.8739956329735336,0.8837942313410645,0.3105475526066363,32,3,0.0001,8,True,0.001,7,461.71522545814514
fginjk,0.861878453038674,0.8099719571404653,0.861878453038674,0.8282254485249927,0.8129504552341305,0.38647790080275984,32,3,0.0001,8,False,-1,-1,91.13736629486084
fginjk,0.8756906077348067,0.8242547893365675,0.8756906077348067,0.8418446469439963,0.8274867960862607,0.3549384466315831,32,4,0.0001,8,True,0.008,3,264.08787727355957
fginjk,0.8729281767955801,0.8213151891846643,0.8729281767955801,0.8388435858493373,0.8243121929116576,0.35507982707896285,32,4,0.0001,8,True,0.005,3,263.88673210144043
fginjk,0.8701657458563536,0.8210761326610774,0.8701657458563536,0.8371721990625784,0.8211375897370544,0.3574004608582067,32,4,0.0001,8,True,0.001,3,266.3102147579193
fginjk,0.8756906077348067,0.8224419440327001,0.8756906077348067,0.8412200097821475,0.8274867960862607,0.4147607575463985,32,4,0.0001,8,True,0.008,5,420.8378002643585
fginjk,0.8784530386740331,0.9079525259930518,0.8784530386740331,0.8711308501727029,0.88513090636195,0.3573710842685805,32,4,0.0001,8,True,0.005,5,414.90149116516113
fginjk,0.8729281767955801,0.8249669655591227,0.8729281767955801,0.8397567932657772,0.8235588972431077,0.3144989061524361,32,4,0.0001,8,True,0.001,5,419.2393820285797
fginjk,0.8646408839779005,0.8096991530720925,0.8646408839779005,0.8300882696647977,0.8161250584087336,0.31813026100232455,32,4,0.0001,8,True,0.008,7,576.8202269077301
fginjk,0.8535911602209945,0.8043598788348909,0.8535911602209945,0.8201471062632155,0.803426645710321,0.3498180449338249,32,4,0.0001,8,True,0.005,7,577.690601348877
fginjk,0.861878453038674,0.8082911411890488,0.861878453038674,0.827608983594968,0.8129504552341305,0.4049604934388103,32,4,0.0001,8,True,0.001,7,569.2454211711884
fginjk,0.8867403314917127,0.9141088166114966,0.8867403314917127,0.8817995094731279,0.8933180408648741,0.3067168081333624,32,4,0.0001,8,False,-1,-1,109.12248349189758
fginjk,0.8701657458563536,0.8275798164569695,0.8701657458563536,0.837342134543372,0.819800914716169,0.320019845974256,32,5,0.0001,8,True,0.008,3,309.4384970664978
fginjk,0.8867403314917127,0.9211392891416088,0.8867403314917127,0.8784482322465749,0.8946547158857596,0.3454854166063156,32,5,0.0001,8,True,0.005,3,305.99416041374207
fginjk,0.8674033149171271,0.8126010403189158,0.8674033149171271,0.833051521838677,0.8192996615833368,0.36108001589116473,32,5,0.0001,8,True,0.001,3,307.0398619174957
fginjk,0.8756906077348067,0.8224921700497768,0.8756906077348067,0.8412208762232796,0.8274867960862607,0.39883119209530604,32,5,0.0001,8,True,0.008,5,489.91358971595764
fginjk,0.8756906077348067,0.8242547893365675,0.8756906077348067,0.8418446469439963,0.8274867960862607,0.4822151493384035,32,5,0.0001,8,True,0.005,5,489.2415339946747
