model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,time
rgin,0.7902777777777777,0.7642559464724034,0.7902777777777777,0.7681687924617757,0.7814284861163535,0.5939089245266385,128,2,0.001,256,False,-1,-1,277.51031374931335
rgin,0.7888888888888889,0.760325842140984,0.7888888888888889,0.7571294547827693,0.7878536163530286,0.6328926324844361,128,2,0.001,128,False,-1,-1,177.85116624832153
rgin,0.8305555555555556,0.8219378001824706,0.8305555555555556,0.8158579354290008,0.8312472120046889,0.5367188294728596,128,2,0.001,64,False,-1,-1,185.39472603797913
rgin,0.7902777777777777,0.7873108963184899,0.7902777777777777,0.7772895868335807,0.7867492321501725,0.6275815705458323,128,2,0.0001,256,False,-1,-1,241.66101169586182
rgin,0.8125,0.7708973583734298,0.8125,0.7845060687052026,0.8098929164228891,0.5582644787099627,128,2,0.0001,128,False,-1,-1,171.61741733551025
rgin,0.8319444444444445,0.8252775627004361,0.8319444444444445,0.8193176557803941,0.8321948665007304,0.5491418656375673,128,2,0.0001,64,False,-1,-1,175.52907276153564
rgin,0.7902777777777777,0.7697525297413825,0.7902777777777777,0.756081142082748,0.7906727506237758,0.5798271358013153,128,3,0.001,256,False,-1,-1,375.893563747406
rgin,0.8055555555555556,0.8127221788364251,0.8055555555555556,0.7725373908507506,0.8094082266173163,0.5853082683351305,128,3,0.001,128,False,-1,-1,242.09495091438293
rgin,0.8347222222222223,0.828141142927935,0.8347222222222223,0.8219417400053506,0.8352473695532334,0.6422304679950078,128,3,0.001,64,False,-1,-1,242.24599647521973
rgin,0.8222222222222222,0.8102066639925412,0.8222222222222222,0.806060025295475,0.8206514919352845,0.6426724241839514,128,3,0.0001,256,False,-1,-1,396.7768268585205
rgin,0.8097222222222222,0.8253638471004764,0.8097222222222222,0.7782776635640005,0.8134280777339415,0.5353244139088524,128,3,0.0001,128,False,-1,-1,198.50122046470642
rgin,0.8361111111111111,0.8328798306893298,0.8361111111111111,0.8251046866095314,0.8371032914091554,0.5269865300920274,128,3,0.0001,64,False,-1,-1,241.81030750274658
